"CAEMP25N Total Full-Time and Part-Time Employment by NAICS Industry 1/"
"Total employment (Number of jobs)" 
"Bureau of Economic Analysis" 
"Metropolitan Statistical Area"
"GeoFips","GeoName","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"13740","Billings, MT (Metropolitan Statistical Area)",99701,100724,101673,104544,106966,108832,112638,113507,111282,110687,112650,114730,115007,116397,119090,119826,120243,121330,122698
"13780","Binghamton, NY (Metropolitan Statistical Area)",139580,136479,134838,134828,135172,136660,139310,139391,135666,133187,132381,131868,130482,129528,128347,128163,126882,127507,127623
"13820","Birmingham-Hoover, AL (Metropolitan Statistical Area)",591371,589367,589756,600389,613937,626827,640584,634784,606607,600850,608220,616845,622895,631022,639514,649415,656458,671189,681778
"13900","Bismarck, ND (Metropolitan Statistical Area)",68045,68452,69556,71510,73520,76118,78226,79890,80758,82274,84543,88020,91075,93393,95082,94904,93750,92989,94128
"13980","Blacksburg-Christiansburg, VA (Metropolitan Statistical Area) *",81027,81473,82185,82917,84239,84962,85719,85816,83111,81285,82747,84061,85064,85953,87449,87641,87764,88949,90266
"14010","Bloomington, IL (Metropolitan Statistical Area)",109029,110523,110088,109225,109996,110931,112603,113546,111824,111398,112002,113158,111461,110664,112393,111459,111876,111568,111472
"14020","Bloomington, IN (Metropolitan Statistical Area)",86472,86455,88861,90050,90907,92092,94409,94475,94200,93020,93309,92926,92762,93841,94441,95317,97120,98930,101124
"14100","Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",46782,47456,47107,48150,49459,50639,51636,52004,51230,51591,52582,53550,54477,53086,52723,52698,52907,52833,53417
"14260","Boise City, ID (Metropolitan Statistical Area)",311229,313222,317239,328238,346498,367714,379138,373367,353830,350361,356775,361944,372414,383129,395866,411102,427338,448734,465949
"14460","Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",3031090,2977857,2947152,2973111,3013744,3051211,3131667,3150417,3081345,3085620,3132923,3190639,3268018,3344569,3490822,3556994,3611368,3673566,3743187
"14500","Boulder, CO (Metropolitan Statistical Area) *",243644,215538,210519,214515,218044,221750,228962,235192,228871,227803,234434,239480,245013,252707,258598,264115,268939,273867,281568
"14540","Bowling Green, KY (Metropolitan Statistical Area)",79048,78927,80185,82086,84829,86880,89670,89166,85556,86256,89444,90993,92293,94218,96195,99602,101409,102878,104102
"14740","Bremerton-Silverdale-Port Orchard, WA (Metropolitan Statistical Area)",113167,117072,119293,121918,124980,127063,127595,127474,123188,120811,120718,121380,121564,124396,127315,129928,132368,135908,139206
"14860","Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",576192,574103,575380,583542,591253,600698,617956,621959,608209,605628,621735,628379,639193,646561,657033,663796,658431,663549,666826
"15180","Brownsville-Harlingen, TX (Metropolitan Statistical Area)",142995,148213,150342,154155,156329,162680,167167,169857,170020,171929,178631,181256,185556,187720,188752,191160,192471,196292,199947
"15260","Brunswick, GA (Metropolitan Statistical Area)",52363,52596,52535,54370,56363,58121,59407,59054,55728,53860,53751,54206,54753,55998,57153,58437,59652,61187,61788
"15380","Buffalo-Cheektowaga, NY (Metropolitan Statistical Area)",634355,630515,631286,635979,636763,636520,643412,648214,635320,634444,642219,646715,651226,656943,663501,667561,670075,677973,682705
"15500","Burlington, NC (Metropolitan Statistical Area)",77847,76384,75173,75967,76703,77138,80082,78758,74921,74330,76422,77711,77884,78970,79319,81219,82359,84139,86304
"15540","Burlington-South Burlington, VT (Metropolitan Statistical Area)",144163,143707,144044,147053,147964,149069,151286,151588,149147,150311,153443,156025,157592,159899,162217,163840,164869,165754,167476
"15680","California-Lexington Park, MD (Metropolitan Statistical Area)",47090,49310,51659,52800,53234,54953,56573,56063,56276,57614,58334,58503,59093,59496,60303,60441,61132,62333,64287
"15940","Canton-Massillon, OH (Metropolitan Statistical Area)",225330,221364,217698,218617,220170,216097,217378,215543,205924,203967,209428,213719,217118,220086,219327,220200,221476,222134,222779
"15980","Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",232767,240323,258600,276146,300554,316326,315773,298689,284886,284625,292596,301974,314675,334635,353157,364213,378173,391979,403070
"16020","Cape Girardeau, MO-IL (Metropolitan Statistical Area)",57816,57787,58156,58289,59727,61015,62379,61857,60395,59229,59171,59680,60567,60057,60159,60485,60471,61477,62193
"16060","Carbondale-Marion, IL (Metropolitan Statistical Area)",73611,73596,73383,73641,75320,76453,76746,76316,75989,76016,76746,76453,75323,75609,76612,76760,76499,76649,77735
"16180","Carson City, NV (Metropolitan Statistical Area)",41635,41771,41908,43058,43878,43921,42266,41157,39407,38440,38076,37406,37531,37521,37670,38260,39425,39484,40470
"16220","Casper, WY (Metropolitan Statistical Area)",44539,44730,45554,47196,48826,50902,52732,53987,51712,51833,53356,55493,56643,57785,57144,53916,53752,54082,55034
"16300","Cedar Rapids, IA (Metropolitan Statistical Area)",163779,160448,159065,161774,164717,168369,172462,174581,172876,173011,175478,176557,177257,178979,181126,181318,181249,182251,184455
"16540","Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",64999,65382,66732,69437,72375,74675,76580,77395,73881,73831,74708,75353,76282,77148,78835,79392,79434,81022,81956
"16580","Champaign-Urbana, IL (Metropolitan Statistical Area)",129448,128925,128853,130064,129866,130940,133070,134046,131717,130045,129488,129617,130365,131733,133586,133428,134723,135289,137330
"16620","Charleston, WV (Metropolitan Statistical Area)",163753,162135,160497,160428,161220,162759,164092,163921,160817,159715,160242,160455,158512,156904,154423,151220,148777,152384,147626
"16700","Charleston-North Charleston, SC (Metropolitan Statistical Area)",327147,333500,341030,353803,364423,374776,391799,394806,381979,384824,399885,408522,418733,432505,448927,468020,481635,501446,514430
"16740","Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",1131782,1134667,1137783,1166374,1209673,1263361,1320238,1322580,1269767,1263077,1318012,1347262,1383036,1437676,1490981,1541709,1589080,1636445,1683494
"16820","Charlottesville, VA (Metropolitan Statistical Area) *",117073,118132,118620,122148,126006,130624,134180,135572,133004,132313,134038,135970,137587,141037,145782,149449,152890,155749,160315
