City,State[c],2019 estimate,2010 Census,Change,2016 land area (mi),2016 land area (km),2016 population density (mi),2016 population density (km),Location
Albuquerque, New Mexico,560513,545852,0.0269,188.2 sq mi,487.4 km2,"2,972/sq mi","1,147/km2",35.1056°N 106.6474°W
Tucson, Arizona,548073,520116,0.0538,230.8 sq mi,597.8 km2,"2,299/sq mi",888/km2,32.1531°N 110.8706°W
Fresno, California,531576,494665,0.0746,114.4 sq mi,296.3 km2,"4,563/sq mi","1,762/km2",36.7836°N 119.7934°W
Mesa, Arizona,518012,439041,0.1799,137.9 sq mi,357.2 km2,"3,514/sq mi","1,357/km2",33.4019°N 111.7174°W
Sacramento, California,513624,466488,0.101,97.9 sq mi,253.6 km2,"5,059/sq mi","1,953/km2",38.5666°N 121.4686°W
Atlanta, Georgia,506811,420003,0.2067,133.5 sq mi,345.8 km2,"3,539/sq mi","1,366/km2",33.7629°N 84.4227°W
Kansas City, Missouri,495327,459787,0.0773,315.0 sq mi,815.8 km2,"1,528/sq mi",590/km2,39.1251°N 94.5510°W
Colorado Springs, Colorado,478221,416427,0.1484,195.6 sq mi,506.6 km2,"2,378/sq mi",918/km2,38.8673°N 104.7607°W
Omaha, Nebraska,478192,408958,0.1693,133.2 sq mi,345.0 km2,"3,356/sq mi","1,296/km2",41.2644°N 96.0451°W
Raleigh, North Carolina,474069,403892,0.1738,145.1 sq mi,375.8 km2,"3,163/sq mi","1,221/km2",35.8306°N 78.6418°W
Miami, Florida,467963,399457,0.1715,36.0 sq mi,93.2 km2,"12,599/sq mi","4,865/km2",25.7752°N 80.2086°W
Long Beach, California,462628,462257,0.0008,50.3 sq mi,130.3 km2,"9,347/sq mi","3,609/km2",33.8092°N 118.1553°W
Virginia Beach[m], Virginia,449974,437994,0.0274,244.7 sq mi,633.8 km2,"1,850/sq mi",710/km2,36.7800°N 76.0252°W
Oakland, California,433031,390724,0.1083,55.9 sq mi,144.8 km2,"7,514/sq mi","2,901/km2",37.7698°N 122.2257°W
Minneapolis, Minnesota,429606,382578,0.1229,54.0 sq mi,139.9 km2,"7,660/sq mi","2,960/km2",44.9633°N 93.2683°W
Tulsa, Oklahoma,401190,391906,0.0237,196.8 sq mi,509.7 km2,"2,048/sq mi",791/km2,36.1279°N 95.9023°W
Tampa, Florida,399700,335709,0.1906,113.4 sq mi,293.7 km2,"3,326/sq mi","1,284/km2",27.9701°N 82.4797°W
Arlington, Texas,398854,365438,0.0914,95.8 sq mi,248.1 km2,"4,100/sq mi","1,600/km2",32.7007°N 97.1247°W
New Orleans[n], Louisiana,390144,343829,0.1347,169.4 sq mi,438.7 km2,"2,311/sq mi",892/km2,30.0534°N 89.9345°W
Wichita, Kansas,389938,382368,0.0198,160.4 sq mi,415.4 km2,"2,431/sq mi",939/km2,37.6907°N 97.3459°W
Bakersfield, California,384145,347483,0.1055,148.8 sq mi,385.4 km2,"2,529/sq mi",976/km2,35.3212°N 119.0183°W
Cleveland, Ohio,381009,396815,−3.98%,77.7 sq mi,201.2 km2,"4,965/sq mi","1,917/km2",41.4785°N 81.6794°W
Aurora, Colorado,379289,325078,0.1668,153.5 sq mi,397.6 km2,"2,356/sq mi",910/km2,39.6880°N 104.6897°W
Anaheim, California,350365,336265,0.0419,50.0 sq mi,129.5 km2,"7,021/sq mi","2,711/km2",33.8555°N 117.7601°W
Honolulu[b], Hawaii,345064,337256,0.0232,60.5 sq mi,156.7 km2,"5,815/sq mi","2,245/km2",21.3243°N 157.8476°W
Santa Ana, California,332318,324528,0.024,27.1 sq mi,70.2 km2,"12,333/sq mi","4,762/km2",33.7363°N 117.8830°W
Riverside, California,331360,303871,0.0905,81.2 sq mi,210.3 km2,"3,999/sq mi","1,544/km2",33.9381°N 117.3932°W
Corpus Christi, Texas,326586,305215,0.07,174.6 sq mi,452.2 km2,"1,866/sq mi",720/km2,27.7543°N 97.1734°W
Lexington[o], Kentucky,323152,295803,0.0925,283.6 sq mi,734.5 km2,"1,123/sq mi",434/km2,38.0407°N 84.4583°W
Henderson, Nevada,320189,257729,0.2423,104.7 sq mi,271.2 km2,"2,798/sq mi","1,080/km2",36.0097°N 115.0357°W
Stockton, California,312697,291707,0.072,61.7 sq mi,159.8 km2,"4,977/sq mi","1,922/km2",37.9763°N 121.3133°W
Saint Paul, Minnesota,308096,285068,0.0808,52.0 sq mi,134.7 km2,"5,815/sq mi","2,245/km2",44.9489°N 93.1041°W
Cincinnati, Ohio,303940,296943,0.0236,77.4 sq mi,200.5 km2,"3,860/sq mi","1,490/km2",39.1402°N 84.5058°W
St. Louis[m], Missouri,300576,319294,−5.86%,62.0 sq mi,160.6 km2,"5,023/sq mi","1,939/km2",38.6357°N 90.2446°W
Pittsburgh, Pennsylvania,300286,305704,−1.77%,55.4 sq mi,143.5 km2,"5,481/sq mi","2,116/km2",40.4398°N 79.9766°W
Greensboro, North Carolina,296710,269666,0.1003,128.3 sq mi,332.3 km2,"2,237/sq mi",864/km2,36.0951°N 79.8270°W
Lincoln, Nebraska,289102,258379,0.1189,92.1 sq mi,238.5 km2,"3,044/sq mi","1,175/km2",40.8105°N 96.6803°W
Anchorage[p], Alaska,288000,291826,−1.31%,"1,706.6 sq mi","4,420.1 km2",175/sq mi,68/km2,61.1743°N 149.2843°W
Plano, Texas,287677,259841,0.1071,71.7 sq mi,185.7 km2,"3,990/sq mi","1,540/km2",33.0508°N 96.7479°W
Orlando, Florida,287442,238300,0.2062,105.2 sq mi,272.5 km2,"2,635/sq mi","1,017/km2",28.4166°N 81.2736°W
Irvine, California,287401,212375,0.3533,65.6 sq mi,169.9 km2,"4,057/sq mi","1,566/km2",33.6784°N 117.7713°W
Newark, New Jersey,282011,277140,0.0176,24.1 sq mi,62.4 km2,"11,691/sq mi","4,514/km2",40.7242°N 74.1726°W
Durham, North Carolina,278993,228330,0.2219,109.8 sq mi,284.4 km2,"2,395/sq mi",925/km2,35.9811°N 78.9029°W
Chula Vista, California,274492,243916,0.1254,49.6 sq mi,128.5 km2,"5,387/sq mi","2,080/km2",32.6277°N 117.0152°W
Toledo, Ohio,272779,287208,−5.02%,80.7 sq mi,209.0 km2,"3,451/sq mi","1,332/km2",41.6641°N 83.5819°W
Fort Wayne, Indiana,270402,253691,0.0659,110.6 sq mi,286.5 km2,"2,391/sq mi",923/km2,41.0882°N 85.1439°W
St. Petersburg, Florida,265351,244769,0.0841,61.8 sq mi,160.1 km2,"4,223/sq mi","1,631/km2",27.7620°N 82.6441°W
Laredo, Texas,262491,236091,0.1118,101.1 sq mi,261.8 km2,"2,544/sq mi",982/km2,27.5604°N 99.4892°W
Jersey City, New Jersey,262075,247597,0.0585,14.8 sq mi,38.3 km2,"17,848/sq mi","6,891/km2",40.7114°N 74.0648°W
Chandler, Arizona,261165,236123,0.1061,64.9 sq mi,168.1 km2,"3,813/sq mi","1,472/km2",33.2829°N 111.8549°W
Madison, Wisconsin,259680,233209,0.1135,77.0 sq mi,199.4 km2,"3,280/sq mi","1,270/km2",43.0878°N 89.4299°W
Lubbock, Texas,258862,229573,0.1276,124.6 sq mi,322.7 km2,"2,027/sq mi",783/km2,33.5656°N 101.8867°W
Scottsdale, Arizona,258069,217385,0.1872,183.9 sq mi,476.3 km2,"1,341/sq mi",518/km2,33.6843°N 111.8611°W
Reno, Nevada,255601,225221,0.1349,107.3 sq mi,277.9 km2,"2,286/sq mi",883/km2,39.5491°N 119.8499°W
Buffalo, New York,255284,261310,−2.31%,40.4 sq mi,104.6 km2,"6,359/sq mi","2,455/km2",42.8925°N 78.8597°W
Gilbert[q], Arizona,254114,208453,0.219,68.0 sq mi,176.1 km2,"3,487/sq mi","1,346/km2",33.3103°N 111.7431°W
Glendale, Arizona,252381,226721,0.1132,59.1 sq mi,153.1 km2,"4,161/sq mi","1,607/km2",33.5331°N 112.1899°W
North Las Vegas, Nevada,251974,216961,0.1614,98.0 sq mi,253.8 km2,"2,436/sq mi",941/km2,36.2857°N 115.0939°W
Winston–Salem, North Carolina,247945,229617,0.0798,132.5 sq mi,343.2 km2,"1,828/sq mi",706/km2,36.1027°N 80.2610°W
Chesapeake[m], Virginia,244835,222209,0.1018,338.5 sq mi,876.7 km2,703/sq mi,271/km2,36.6794°N 76.3018°W
Norfolk[m], Virginia,242742,242803,−0.03%,53.3 sq mi,138.0 km2,"4,599/sq mi","1,776/km2",36.9230°N 76.2446°W
Fremont, California,241110,214089,0.1262,77.5 sq mi,200.7 km2,"3,008/sq mi","1,161/km2",37.4945°N 121.9412°W
Garland, Texas,239928,226876,0.0575,57.0 sq mi,147.6 km2,"4,122/sq mi","1,592/km2",32.9098°N 96.6303°W
Irving, Texas,239798,216290,0.1087,67.0 sq mi,173.5 km2,"3,557/sq mi","1,373/km2",32.8577°N 96.9700°W
Hialeah, Florida,233339,224669,0.0386,21.5 sq mi,55.7 km2,"10,995/sq mi","4,245/km2",25.8699°N 80.3029°W
Richmond[m], Virginia,230436,204214,0.1284,59.8 sq mi,154.9 km2,"3,732/sq mi","1,441/km2",37.5314°N 77.4760°W
Boise[r], Idaho,228959,205671,0.1132,82.1 sq mi,212.6 km2,"2,718/sq mi","1,049/km2",43.6002°N 116.2317°W
Spokane, Washington,222081,208916,0.063,68.7 sq mi,177.9 km2,"3,144/sq mi","1,214/km2",47.6669°N 117.4333°W
Baton Rouge[s], Louisiana,220236,229493,−4.03%,85.9 sq mi,222.5 km2,"2,651/sq mi","1,024/km2",30.4422°N 91.1309°W
Tacoma, Washington,217827,198397,0.0979,49.7 sq mi,128.7 km2,"4,251/sq mi","1,641/km2",47.2522°N 122.4598°W
San Bernardino, California,215784,209924,0.0279,61.5 sq mi,159.3 km2,"3,516/sq mi","1,358/km2",34.1416°N 117.2936°W
Modesto, California,215196,201165,0.0697,43.0 sq mi,111.4 km2,"4,934/sq mi","1,905/km2",37.6375°N 121.0030°W
Fontana, California,214547,196069,0.0942,43.0 sq mi,111.4 km2,"4,876/sq mi","1,883/km2",34.1090°N 117.4629°W
Des Moines, Iowa,214237,203433,0.0531,88.9 sq mi,230.2 km2,"2,424/sq mi",936/km2,41.5726°N 93.6102°W
Moreno Valley, California,213055,193365,0.1018,51.3 sq mi,132.9 km2,"4,006/sq mi","1,547/km2",33.9233°N 117.2057°W
Santa Clarita, California,212979,176320,0.2079,52.8 sq mi,136.8 km2,"3,446/sq mi","1,331/km2",34.4030°N 118.5042°W
Fayetteville, North Carolina,211657,200564,0.0553,147.7 sq mi,382.5 km2,"1,386/sq mi",535/km2,35.0828°N 78.9735°W
Birmingham, Alabama,209403,212237,−1.34%,146.1 sq mi,378.4 km2,"1,452/sq mi",561/km2,33.5274°N 86.7990°W
Oxnard, California,208881,197899,0.0555,26.9 sq mi,69.7 km2,"7,729/sq mi","2,984/km2",34.2023°N 119.2046°W
Rochester, New York,205695,210565,−2.31%,35.8 sq mi,92.7 km2,"5,835/sq mi","2,253/km2",43.1699°N 77.6169°W
Port St. Lucie, Florida,201846,164603,0.2263,118.9 sq mi,307.9 km2,"1,557/sq mi",601/km2,27.2806°N 80.3883°W
Grand Rapids, Michigan,201013,188040,0.069,44.4 sq mi,115.0 km2,"4,424/sq mi","1,708/km2",42.9612°N 85.6556°W
Huntsville, Alabama,200574,180105,0.1137,213.4 sq mi,552.7 km2,905/sq mi,349/km2,34.6990°N 86.6730°W
Salt Lake City, Utah,200567,186440,0.0758,111.2 sq mi,288.0 km2,"1,742/sq mi",673/km2,40.7769°N 111.9310°W
Frisco, Texas,200490,116989,0.7138,67.7 sq mi,175.3 km2,"2,417/sq mi",933/km2,33.1554°N 96.8226°W
Yonkers, New York,200370,195976,0.0224,18.0 sq mi,46.6 km2,"11,156/sq mi","4,307/km2",40.9459°N 73.8674°W
Amarillo, Texas,199371,190695,0.0455,101.4 sq mi,262.6 km2,"1,968/sq mi",760/km2,35.1999°N 101.8302°W
Glendale, California,199303,191719,0.0396,30.4 sq mi,78.7 km2,"6,606/sq mi","2,551/km2",34.1814°N 118.2458°W
Huntington Beach, California,199223,189992,0.0486,26.9 sq mi,69.7 km2,"7,459/sq mi","2,880/km2",33.6906°N 118.0093°W
McKinney, Texas,199177,131117,0.5191,63.0 sq mi,163.2 km2,"2,735/sq mi","1,056/km2",33.1985°N 96.6680°W
Montgomery, Alabama,198525,205764,−3.52%,159.8 sq mi,413.9 km2,"1,252/sq mi",483/km2,32.3472°N 86.2661°W
Augusta[t], Georgia,197888,195844,0.0104,302.5 sq mi,783.5 km2,652/sq mi,252/km2,33.3655°N 82.0734°W
Aurora, Illinois,197757,197899,−0.07%,44.9 sq mi,116.3 km2,"4,479/sq mi","1,729/km2",41.7635°N 88.2901°W
Akron, Ohio,197597,199110,−0.76%,62.0 sq mi,160.6 km2,"3,188/sq mi","1,231/km2",41.0805°N 81.5214°W
Little Rock, Arkansas,197312,193524,0.0196,118.7 sq mi,307.4 km2,"1,673/sq mi",646/km2,34.7254°N 92.3586°W
Tempe, Arizona,195805,161719,0.2108,40.0 sq mi,103.6 km2,"4,562/sq mi","1,761/km2",33.3884°N 111.9318°W
Columbus[u], Georgia,195769,189885,0.031,216.4 sq mi,560.5 km2,913/sq mi,353/km2,32.5102°N 84.8749°W
Overland Park, Kansas,195494,173372,0.1276,75.1 sq mi,194.5 km2,"2,516/sq mi",971/km2,38.8890°N 94.6906°W
Grand Prairie, Texas,194543,175396,0.1092,72.3 sq mi,187.3 km2,"2,637/sq mi","1,018/km2",32.6869°N 97.0211°W
Tallahassee, Florida,194500,181376,0.0724,100.4 sq mi,260.0 km2,"1,901/sq mi",734/km2,30.4551°N 84.2534°W
Cape Coral, Florida,194495,154305,0.2605,105.6 sq mi,273.5 km2,"1,703/sq mi",658/km2,26.6432°N 81.9974°W
Mobile, Alabama,188720,195111,−3.28%,139.4 sq mi,361.0 km2,"1,384/sq mi",534/km2,30.6684°N 88.1002°W
Knoxville, Tennessee,187603,178874,0.0488,98.5 sq mi,255.1 km2,"1,891/sq mi",730/km2,35.9707°N 83.9493°W
Shreveport, Louisiana,187112,199311,−6.12%,107.1 sq mi,277.4 km2,"1,820/sq mi",700/km2,32.4669°N 93.7922°W
Worcester, Massachusetts,185428,181045,0.0242,37.4 sq mi,96.9 km2,"4,933/sq mi","1,905/km2",42.2695°N 71.8078°W
Ontario, California,185010,163924,0.1286,49.9 sq mi,129.2 km2,"3,471/sq mi","1,340/km2",34.0394°N 117.6042°W
Vancouver, Washington,184463,161791,0.1401,46.9 sq mi,121.5 km2,"3,728/sq mi","1,439/km2",45.6349°N 122.5957°W
Sioux Falls, South Dakota,183793,153888,0.1943,75.4 sq mi,195.3 km2,"2,312/sq mi",893/km2,43.5383°N 96.7320°W
Chattanooga, Tennessee,182799,167674,0.0902,143.1 sq mi,370.6 km2,"1,241/sq mi",479/km2,35.0660°N 85.2484°W
Brownsville, Texas,182781,175023,0.0443,132.5 sq mi,343.2 km2,"1,387/sq mi",536/km2,25.9991°N 97.4550°W
Fort Lauderdale, Florida,182437,165521,0.1022,34.6 sq mi,89.6 km2,"5,166/sq mi","1,995/km2",26.1412°N 80.1467°W
Providence, Rhode Island,179883,178042,0.0103,18.4 sq mi,47.7 km2,"9,740/sq mi","3,760/km2",41.8231°N 71.4188°W
Newport News[m], Virginia,179225,180719,−0.83%,69.1 sq mi,179.0 km2,"2,631/sq mi","1,016/km2",37.0762°N 76.5220°W
Rancho Cucamonga, California,177603,165269,0.0746,40.0 sq mi,103.6 km2,"4,413/sq mi","1,704/km2",34.1233°N 117.5642°W
Santa Rosa, California,176753,167815,0.0533,41.3 sq mi,107.0 km2,"4,241/sq mi","1,637/km2",38.4468°N 122.7061°W
