CBSA Code,CBSA Title,Principal City Name,FIPS State Code,FIPS Place Code
16020,"Cape Girardeau, MO-IL",Cape Girardeau,29,11242
16060,"Carbondale-Marion, IL",Carbondale,17,11163
16060,"Carbondale-Marion, IL",Marion,17,46916
16180,"Carson City, NV",Carson City,32,9700
16220,"Casper, WY",Casper,56,13150
16300,"Cedar Rapids, IA",Cedar Rapids,19,12000
16540,"Chambersburg-Waynesboro, PA",Chambersburg,42,12536
16540,"Chambersburg-Waynesboro, PA",Waynesboro,42,81824
16580,"Champaign-Urbana, IL",Champaign,17,12385
16580,"Champaign-Urbana, IL",Urbana,17,77005
16620,"Charleston, WV",Charleston,54,14600
16700,"Charleston-North Charleston, SC",Charleston,45,13330
16700,"Charleston-North Charleston, SC",North Charleston,45,50875
16740,"Charlotte-Concord-Gastonia, NC-SC",Charlotte,37,12000
16740,"Charlotte-Concord-Gastonia, NC-SC",Concord,37,14100
16740,"Charlotte-Concord-Gastonia, NC-SC",Gastonia,37,25580
16740,"Charlotte-Concord-Gastonia, NC-SC",Rock Hill,45,61405
16820,"Charlottesville, VA",Charlottesville,51,14968
16860,"Chattanooga, TN-GA",Chattanooga,47,14000
16940,"Cheyenne, WY",Cheyenne,56,13900
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Bolingbrook,17,7133
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Chicago,17,14000
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Des Plaines,17,19642
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Elgin,17,23074
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Evanston,17,24582
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Hoffman Estates,17,35411
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Naperville,17,51622
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Schaumburg,17,68003
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Skokie,17,70122
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Gary,18,27000
17020,"Chico, CA",Chico,6,13014
17140,"Cincinnati, OH-KY-IN",Cincinnati,39,15000
17300,"Clarksville, TN-KY",Clarksville,47,15160
17420,"Cleveland, TN",Cleveland,47,15400
17460,"Cleveland-Elyria, OH",Cleveland,39,16000
17460,"Cleveland-Elyria, OH",Elyria,39,25256
17660,"Coeur d'Alene, ID",Coeur d'Alene,16,16750
17780,"College Station-Bryan, TX",Bryan,48,10912
17780,"College Station-Bryan, TX",College Station,48,15976
17820,"Colorado Springs, CO",Colorado Springs,8,16000
17860,"Columbia, MO",Columbia,29,15670
17900,"Columbia, SC",Columbia,45,16000
17980,"Columbus, GA-AL",Columbus,13,19000
18020,"Columbus, IN",Columbus,18,14734
18140,"Columbus, OH",Columbus,39,18000
18580,"Corpus Christi, TX",Corpus Christi,48,17000
18700,"Corvallis, OR",Corvallis,41,15800
18880,"Crestview-Fort Walton Beach-Destin, FL",Crestview,12,15475
18880,"Crestview-Fort Walton Beach-Destin, FL",Destin,12,17325
18880,"Crestview-Fort Walton Beach-Destin, FL",Fort Walton Beach,12,24475
19060,"Cumberland, MD-WV",Cumberland,24,21325
19100,"Dallas-Fort Worth-Arlington, TX",Arlington,48,4000
19100,"Dallas-Fort Worth-Arlington, TX",Dallas,48,19000
19100,"Dallas-Fort Worth-Arlington, TX",Denton,48,19972
19100,"Dallas-Fort Worth-Arlington, TX",Fort Worth,48,27000
19100,"Dallas-Fort Worth-Arlington, TX",Grapevine,48,30644
19100,"Dallas-Fort Worth-Arlington, TX",Irving,48,37000
19100,"Dallas-Fort Worth-Arlington, TX",Plano,48,58016
19100,"Dallas-Fort Worth-Arlington, TX",Richardson,48,61796
19140,"Dalton, GA",Dalton,13,21380
19180,"Danville, IL",Danville,17,18563
19300,"Daphne-Fairhope-Foley, AL",Daphne,1,19648
19300,"Daphne-Fairhope-Foley, AL",Fairhope,1,25240
19300,"Daphne-Fairhope-Foley, AL",Foley,1,26992
19300,"Daphne-Fairhope-Foley, AL",Gulf Shores,1,32272
19340,"Davenport-Moline-Rock Island, IA-IL",Moline,17,49867
19340,"Davenport-Moline-Rock Island, IA-IL",Rock Island,17,65078
19340,"Davenport-Moline-Rock Island, IA-IL",Davenport,19,19000
19430,"Dayton-Kettering, OH",Dayton,39,21000
19430,"Dayton-Kettering, OH",Kettering,39,40040
19460,"Decatur, AL",Decatur,1,20104
19500,"Decatur, IL",Decatur,17,18823
19660,"Deltona-Daytona Beach-Ormond Beach, FL",Daytona Beach,12,16525
19660,"Deltona-Daytona Beach-Ormond Beach, FL",DeLand,12,16875
