CBSA,MDIV,STCOU,NAME,LSAD,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,NPOPCHG2010,NPOPCHG2011,NPOPCHG2012,NPOPCHG2013,NPOPCHG2014,NPOPCHG2015,NPOPCHG2016,NPOPCHG2017,NPOPCHG2018,NPOPCHG2019,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,BIRTHS2015,BIRTHS2016,BIRTHS2017,BIRTHS2018,BIRTHS2019,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,DEATHS2015,DEATHS2016,DEATHS2017,DEATHS2018,DEATHS2019,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,RESIDUAL2014,RESIDUAL2015,RESIDUAL2016,RESIDUAL2017,RESIDUAL2018,RESIDUAL2019
16860,,,"Chattanooga, TN-GA",Metropolitan Statistical Area,528143,528126,529131,533621,538103,542181,544183,547205,551859,555953,560832,565194,1005,4490,4482,4078,2002,3022,4654,4094,4879,4362,1576,6061,6313,6263,6221,6408,6408,6277,6412,6274,1191,4910,5196,5290,5382,5654,5646,6061,5931,5938,-7,8,89,-6,-69,-28,-2,-5,2,7
16940,,,"Cheyenne, WY",Metropolitan Statistical Area,91738,91885,92236,92576,94697,95707,96036,96969,97887,98377,98865,99500,351,340,2121,1010,329,933,918,490,488,635,359,1292,1220,1251,1231,1313,1314,1300,1280,1269,234,770,720,747,722,849,814,774,851,874,9,-3,62,-3,-19,-11,0,-8,-2,-3
16980,,,"Chicago-Naperville-Elgin, IL-IN-WI",Metropolitan Statistical Area,9461105,9461537,9470634,9500870,9528090,9550194,9560430,9552554,9533662,9514113,9484158,9458539,9097,30236,27220,22104,10236,-7876,-18892,-19549,-29955,-25619,32246,123448,121743,119173,119154,120057,117389,113966,110384,108425,16097,66704,66884,68807,67706,71109,70159,72506,73266,74501,-208,78,-285,-293,65,270,144,174,167,150
17020,,,"Chico, CA",Metropolitan Statistical Area,220000,220005,219949,219975,220869,221641,223516,224631,226231,228696,230339,219186,-56,26,894,772,1875,1115,1600,2465,1643,-11153,622,2443,2403,2321,2503,2475,2464,2443,2431,2422,516,2179,2247,2304,2170,2330,2403,2501,2568,2527,-20,-7,-25,-18,-9,-19,-3,9,-3,98
17140,,,"Cincinnati, OH-KY-IN",Metropolitan Statistical Area,2137667,2137713,2140715,2146208,2152554,2162060,2172190,2181427,2191572,2202558,2211936,2221208,3002,5493,6346,9506,10130,9237,10145,10986,9378,9272,6956,27778,27731,27813,27304,27608,27069,26801,27228,26892,4084,18302,18391,18749,18873,19971,19885,20666,20363,20279,-84,-2,-178,-191,-309,-210,-88,-128,-64,-81
17300,,,"Clarksville, TN-KY",Metropolitan Statistical Area,273949,273942,274959,277405,287393,285441,289628,292878,293712,298635,304301,307820,1017,2446,9988,-1952,4187,3250,834,4923,5666,3519,1210,4734,5225,5253,5051,5384,5285,4980,5107,5245,501,1932,1996,2098,2066,2098,2143,2201,2397,2379,23,18,186,122,59,4,0,21,24,12
17420,,,"Cleveland, TN",Metropolitan Statistical Area,115788,115747,115896,116569,117673,118410,119455,120543,121184,122180,123968,124942,149,673,1104,737,1045,1088,641,996,1788,974,329,1243,1340,1326,1394,1385,1345,1349,1432,1406,243,1169,1159,1196,1164,1320,1214,1341,1321,1348,-8,-3,18,-5,-10,-3,-5,0,2,-4
17460,,,"Cleveland-Elyria, OH",Metropolitan Statistical Area,2077240,2077277,2075478,2068989,2064776,2067100,2067356,2064012,2060997,2057238,2053795,2048449,-1799,-6489,-4213,2324,256,-3344,-3015,-3759,-3443,-5346,5890,23571,23066,23122,23499,23455,23068,22583,22266,22003,5134,21076,21149,21414,20604,21437,21465,22354,21947,21464,3,15,-73,-238,-208,-94,-61,-73,-65,-68
17660,,,"Coeur d'Alene, ID",Metropolitan Statistical Area,138494,138466,138848,140932,142084,143897,146529,149367,153019,157320,161209,165697,382,2084,1152,1813,2632,2838,3652,4301,3889,4488,412,1735,1684,1711,1792,1803,1808,1826,1760,1815,254,1234,1227,1242,1270,1342,1338,1453,1457,1503,3,4,-16,1,36,20,12,16,10,17
17780,,,"College Station-Bryan, TX",Metropolitan Statistical Area,228660,228668,229458,231435,234148,237816,242830,250567,254391,259123,261335,264728,790,1977,2713,3668,5014,7737,3824,4732,2212,3393,762,3007,2980,3043,3095,3317,3270,3192,3053,3041,326,1201,1249,1309,1344,1481,1433,1400,1479,1530,-14,8,-22,-5,13,70,-3,7,10,-1
17820,,,"Colorado Springs, CO",Metropolitan Statistical Area,645613,645612,650500,660674,669448,678565,686562,697389,712335,724773,737202,745791,4888,10174,8774,9117,7997,10827,14946,12438,12429,8589,2307,9453,9319,9252,9379,9631,9665,9669,9625,9688,889,3803,3917,4037,4234,4305,4464,4769,5032,5043,203,11,-131,-28,-75,-13,49,41,35,22
17860,,,"Columbia, MO",Metropolitan Statistical Area,190387,190398,190947,194030,196540,198824,200492,202152,204049,205725,206746,208173,549,3083,2510,2284,1668,1660,1897,1676,1021,1427,579,2386,2435,2470,2530,2358,2393,2415,2340,2324,341,1253,1235,1350,1283,1420,1263,1409,1423,1427,7,9,12,-2,-24,-19,0,-3,3,-4
17900,,,"Columbia, SC",Metropolitan Statistical Area,767598,767469,769646,776195,783250,790842,798882,809136,817188,824939,831690,838433,2177,6549,7055,7592,8040,10254,8052,7751,6751,6743,2449,9466,9470,9363,9297,9443,9506,9264,9226,9110,1567,5974,6076,6585,6421,6804,6784,6902,7210,7269,23,-7,-98,-50,-40,11,-18,-23,-13,-11
17980,,,"Columbus, GA-AL",Metropolitan Statistical Area,307788,308478,309476,315305,322721,327844,325273,322772,319040,315942,318211,321048,998,5829,7416,5123,-2571,-2501,-3732,-3098,2269,2837,1191,4598,5053,4756,4731,4667,4476,4335,4332,4313,579,2815,2796,2814,2801,2958,3131,3226,3146,3129,29,33,107,169,169,81,31,17,3,-5
18020,,,"Columbus, IN",Metropolitan Statistical Area,76794,76783,76818,77620,79001,79655,80497,81458,82231,82213,82722,83779,35,802,1381,654,842,961,773,-18,509,1057,247,982,1068,1050,1096,1083,1092,1050,1034,1015,205,712,701,679,771,739,733,813,708,734,-4,-1,18,-13,-19,-5,-3,-1,2,-4
18140,,,"Columbus, OH",Metropolitan Statistical Area,1901974,1902008,1906366,1926338,1947208,1974061,2001635,2027568,2052192,2082581,2104194,2122271,4358,19972,20870,26853,27574,25933,24624,30389,21613,18077,6683,26242,26593,27260,27475,27531,27679,27517,27215,27096,3362,14185,14278,14895,14738,15776,15735,16380,16612,16704,-130,-8,-57,-4,-66,-88,-45,15,-41,-93
18580,,,"Corpus Christi, TX",Metropolitan Statistical Area,405027,405025,404676,407721,413199,419080,423313,427621,428953,428445,428697,429024,-349,3045,5478,5881,4233,4308,1332,-508,252,327,1352,5580,5577,5869,6093,6182,5935,5608,5482,5382,891,3215,3244,3451,3430,3434,3467,3561,3692,3560,26,-7,-1,16,-60,-30,-8,2,1,2
18700,,,"Corvallis, OR",Metropolitan Statistical Area,85579,85581,85574,86266,86678,86167,87215,88333,89918,91790,92442,93053,-7,692,412,-511,1048,1118,1585,1872,652,611,195,764,734,714,721,717,752,748,684,701,100,549,570,546,552,575,599,598,563,584,10,0,-11,28,-4,-4,-1,6,-4,-5
18880,,,"Crestview-Fort Walton Beach-Destin, FL",Metropolitan Statistical Area,235865,235870,235932,238704,246952,251881,255801,260814,265492,271499,277666,284809,62,2772,8248,4929,3920,5013,4678,6007,6167,7143,749,3234,3330,3290,3549,3649,3592,3479,3484,3472,465,2075,2012,2161,2171,2400,2412,2463,2603,2658,42,1,203,65,26,35,13,28,21,35
19060,,,"Cumberland, MD-WV",Metropolitan Statistical Area,103299,103272,103170,102629,101833,101267,100587,99879,99428,98575,97894,97284,-102,-541,-796,-566,-680,-708,-451,-853,-681,-610,268,978,957,1001,995,910,926,915,909,889,286,1220,1210,1243,1190,1283,1256,1288,1224,1217,-6,-1,3,-9,-3,-4,-5,-5,-2,-3
19100,,,"Dallas-Fort Worth-Arlington, TX",Metropolitan Statistical Area,6366542,6366537,6392065,6510544,6644559,6753889,6889769,7042566,7194758,7337097,7455756,7573136,25528,118479,134015,109330,135880,152797,152192,142339,118659,117380,23611,95701,95061,95683,97810,99550,100218,99709,97797,97911,8885,37161,37442,39412,40305,41829,42227,44481,46408,47311,371,118,890,-6,154,247,98,23,115,115
19140,,,"Dalton, GA",Metropolitan Statistical Area,142227,142233,142278,142285,142259,141906,142298,143099,143753,144037,144192,144724,45,7,-26,-353,392,801,654,284,155,532,488,1970,1903,1878,1902,1884,1911,1892,1814,1780,230,1075,1108,1170,1185,1132,1242,1253,1225,1253,-3,-2,0,7,-24,-16,-6,-1,-1,-3
19180,,,"Danville, IL",Metropolitan Statistical Area,81625,81625,81640,81414,80862,80585,79783,79170,78494,77689,76702,75758,15,-226,-552,-277,-802,-613,-676,-805,-987,-944,272,1089,1073,1069,1025,1015,1047,953,991,918,163,1029,932,963,969,1034,971,988,974,945,-4,-1,8,-5,10,0,1,1,-1,1
19300,,,"Daphne-Fairhope-Foley, AL",Metropolitan Statistical Area,182265,182265,183112,186558,190145,194885,199183,202939,207601,212521,217855,223234,847,3446,3587,4740,4298,3756,4662,4920,5334,5379,516,2189,2093,2160,2212,2257,2300,2300,2310,2304,533,1829,1885,1900,1987,2098,2022,2099,2312,2326,46,10,85,100,96,33,16,14,15,24
19340,,,"Davenport-Moline-Rock Island, IA-IL",Metropolitan Statistical Area,379690,379681,379743,380685,382431,383843,384070,383381,382178,381103,380044,379172,62,942,1746,1412,227,-689,-1203,-1075,-1059,-872,1175,4757,4829,4690,4862,4860,4792,4603,4384,4349,776,3669,3702,3739,3644,3830,3790,3951,3861,3789,-6,-4,-35,-2,-24,-11,-4,-7,-6,-7
19430,,,"Dayton-Kettering, OH",Metropolitan Statistical Area,799232,799280,799672,800858,801603,801390,801017,800124,801661,803233,805088,807611,392,1186,745,-213,-373,-893,1537,1572,1855,2523,2436,9422,9698,9600,9674,9667,9707,9677,9511,9391,1783,7945,7983,8245,8239,8577,8714,9075,8826,8506,-73,-4,-92,-16,-55,-35,-44,-39,-45,-43
19460,,,"Decatur, AL",Metropolitan Statistical Area,153829,153827,153950,154075,153908,153146,152888,152392,152233,151981,152144,152603,123,125,-167,-762,-258,-496,-159,-252,163,459,460,1849,1771,1767,1765,1729,1796,1839,1785,1751,352,1661,1602,1624,1647,1669,1751,1718,1829,1744,-20,-4,-17,-2,-12,-9,-2,-3,-7,-12
19500,,,"Decatur, IL",Metropolitan Statistical Area,110768,110777,110787,110684,110134,109561,108515,107343,106383,105399,104504,104009,10,-103,-550,-573,-1046,-1172,-960,-984,-895,-495,358,1386,1317,1387,1352,1382,1349,1257,1321,1258,249,1173,1185,1176,1267,1335,1229,1214,1271,1223,-3,-3,1,3,20,6,3,2,-2,0
19660,,,"Deltona-Daytona Beach-Ormond Beach, FL",Metropolitan Statistical Area,590289,590288,590506,591926,594969,600236,608604,621166,635859,647867,658186,668365,218,1420,3043,5267,8368,12562,14693,12008,10319,10179,1394,5394,5557,5425,5557,5659,5787,5783,5768,5740,1778,7171,7301,7622,7761,8046,8122,8550,8988,8563,-55,-24,-8,78,203,165,71,53,31,49
19740,,,"Denver-Aurora-Lakewood, CO",Metropolitan Statistical Area,2543482,2543608,2554523,2602918,2650274,2700529,2753973,2812896,2856755,2891776,2931665,2967239,10915,48395,47356,50255,53444,58923,43859,35021,39889,35574,8898,34791,33963,34372,34827,35169,35263,34684,34046,34138,3874,15244,15760,16189,16125,17348,17587,17906,18648,19203,277,137,648,629,746,494,134,73,126,108
19780,,,"Des Moines-West Des Moines, IA",Metropolitan Statistical Area,606475,606474,608930,618299,626778,637846,649652,659522,671055,681413,690915,699292,2456,9369,8479,11068,11806,9870,11533,10358,9502,8377,2252,8633,9032,9216,9291,9449,9518,9615,9213,9311,1116,4460,4450,4647,4680,5007,4844,5455,5023,5175,27,13,14,87,66,9,8,11,7,4
19820,,,"Detroit-Warren-Dearborn, MI",Metropolitan Statistical Area,4296250,4296227,4291508,4291696,4300864,4305587,4311194,4309673,4316260,4321593,4322084,4319629,-4719,188,9168,4723,5607,-1521,6587,5333,491,-2455,12739,50155,49886,49893,50808,50370,50519,50097,49350,48879,9546,39638,38933,40627,39849,41963,41135,41999,42102,42151,437,47,-242,307,-178,-120,-82,-106,-52,-44
20020,,,"Dothan, AL",Metropolitan Statistical Area,145639,145640,145871,146621,147448,147449,147830,147992,147784,147878,148249,149358,231,750,827,1,381,162,-208,94,371,1109,438,1836,1822,1747,1734,1731,1774,1824,1765,1749,408,1474,1589,1667,1572,1658,1676,1777,1727,1715,-6,-7,-4,-17,-26,-18,-6,-11,-6,-5
20100,,,"Dover, DE",Metropolitan Statistical Area,162310,162350,162956,165110,167297,169038,171456,173128,174542,176499,178540,180786,606,2154,2187,1741,2418,1672,1414,1957,2041,2246,570,2211,2190,2189,2254,2254,2261,2214,2178,2127,329,1373,1382,1492,1478,1558,1565,1649,1694,1757,10,2,7,-12,19,-13,-7,-4,1,2
20220,,,"Dubuque, IA",Metropolitan Statistical Area,93653,93643,93929,94593,95159,95945,96481,96850,96763,97066,96922,97311,286,664,566,786,536,369,-87,303,-144,389,316,1161,1162,1171,1285,1236,1230,1130,1182,1136,163,868,865,916,940,952,864,905,922,907,-6,-1,-17,-3,-20,-13,-1,-5,-1,-6
20260,,,"Duluth, MN-WI",Metropolitan Statistical Area,290637,290636,290542,290594,290176,290193,290261,289741,289395,289108,289260,288732,-94,52,-418,17,68,-520,-346,-287,152,-528,750,3003,3035,2978,2926,2928,2869,2845,2784,2746,734,3051,2952,3051,2987,2991,3073,3026,3008,3016,-30,-9,-42,-50,-49,-35,-12,-21,-7,-15
20500,,,"Durham-Chapel Hill, NC",Metropolitan Statistical Area,564273,564193,566267,572520,581735,590364,599236,607706,618222,625678,637501,644367,2074,6253,9215,8629,8872,8470,10516,7456,11823,6866,1834,7151,7122,7080,7123,7185,7111,7045,7067,7029,908,4086,3897,4118,4181,4376,4304,4694,4703,4907,41,17,97,48,88,44,23,2,33,10
20700,,,"East Stroudsburg, PA",Metropolitan Statistical Area,169842,169841,169849,169891,168628,167355,167285,166481,166220,167895,169294,170271,8,42,-1263,-1273,-70,-804,-261,1675,1399,977,334,1383,1328,1349,1383,1394,1443,1506,1537,1545,337,1251,1280,1352,1367,1413,1502,1467,1543,1618,-13,-1,38,35,-8,2,-2,-9,-14,-14
20740,,,"Eau Claire, WI",Metropolitan Statistical Area,161151,161383,161655,162886,163892,164822,165023,165501,166430,167329,168464,169304,272,1231,1006,930,201,478,929,899,1135,840,450,1894,1961,1873,1918,1964,1915,1893,1789,1808,227,1239,1271,1370,1427,1526,1528,1456,1337,1332,-15,-1,-14,-13,-14,-19,-8,-7,-7,-6
20940,,,"El Centro, CA",Metropolitan Statistical Area,174528,174524,174716,175786,176575,176438,177974,178937,180179,181649,181523,181215,192,1070,789,-137,1536,963,1242,1470,-126,-308,688,3130,3016,3016,3167,3292,3115,2981,2761,2728,181,977,955,969,1021,1033,1126,1022,1121,1079,15,1,19,71,-1,12,3,-6,8,10
21060,,,"Elizabethtown-Fort Knox, KY",Metropolitan Statistical Area,148338,148331,149833,151319,151501,152228,151675,148107,148941,150390,153201,153928,1502,1486,182,727,-553,-3568,834,1449,2811,727,527,2203,1898,2070,2027,1963,1877,1821,1923,1888,360,1255,1157,1240,1244,1350,1342,1307,1356,1382,81,7,0,-10,42,76,-3,-9,-1,-6
21140,,,"Elkhart-Goshen, IN",Metropolitan Statistical Area,197559,197569,197451,198279,198968,200205,201423,202995,203642,204194,205617,206341,-118,828,689,1237,1218,1572,647,552,1423,724,736,3053,2984,3019,3039,3184,3160,3063,3089,3054,318,1516,1661,1651,1622,1733,1691,1800,1651,1669,24,-3,-13,-20,-36,-22,-3,-3,-5,0
21300,,,"Elmira, NY",Metropolitan Statistical Area,88830,88847,88895,88899,89137,88199,87177,86705,85644,84736,83935,83456,48,4,238,-938,-1022,-472,-1061,-908,-801,-479,253,1024,1047,1023,918,1026,961,905,871,859,197,972,914,923,874,1000,937,1062,971,943,-11,-3,-22,22,24,-4,4,4,1,-1
21340,,,"El Paso, TX",Metropolitan Statistical Area,804123,804109,807048,823308,835667,834203,837089,835439,839203,842005,841613,844124,2939,16260,12359,-1464,2886,-1650,3764,2802,-392,2511,3302,13869,13976,13724,13603,13739,13332,12730,11643,11654,1131,4793,4833,4855,4940,5315,5253,5276,5553,5569,-41,12,-188,260,79,138,7,-4,2,1
21420,,,"Enid, OK",Metropolitan Statistical Area,60580,60580,60765,60763,61399,62370,62790,63248,62493,61600,61095,61056,185,-2,636,971,420,458,-755,-893,-505,-39,245,933,920,947,995,1035,968,911,866,864,146,709,641,715,697,689,711,730,648,621,-4,1,-10,3,-9,-7,3,3,0,1
21500,,,"Erie, PA",Metropolitan Statistical Area,280566,280584,280799,281327,281532,280717,279423,278174,276170,273558,271544,269728,215,528,205,-815,-1294,-1249,-2004,-2612,-2014,-1816,830,3269,3236,3154,3183,3167,3098,3112,2900,2855,545,2802,2822,2888,2819,2933,2856,3050,2832,2801,-27,-9,-24,8,24,0,9,17,4,2
21660,,,"Eugene-Springfield, OR",Metropolitan Statistical Area,351715,351705,351920,354034,355075,355481,358027,361946,368874,375264,378549,382067,215,2114,1041,406,2546,3919,6928,6390,3285,3518,945,3468,3476,3453,3640,3707,3575,3435,3465,3425,729,3123,3410,3308,3384,3525,3507,3649,3735,3631,-42,-11,-71,-68,-38,18,25,32,5,7
21780,,,"Evansville, IN-KY",Metropolitan Statistical Area,311552,311548,311802,312698,313422,314331,314859,314983,315283,314791,314660,315086,254,896,724,909,528,124,300,-492,-131,426,990,3766,3787,3785,3679,3768,3714,3617,3543,3448,831,3059,2963,3245,3166,3327,3234,3413,3238,3287,-27,-8,-36,-35,-48,-28,-18,-15,-9,-14
21820,,,"Fairbanks, AK",Metropolitan Statistical Area,97581,97585,98264,98120,100311,100933,99254,99636,100633,99675,98565,96849,679,-144,2191,622,-1679,382,997,-958,-1110,-1716,482,1778,1597,1711,1699,1697,1699,1640,1600,1533,116,447,449,472,433,494,488,496,527,506,28,10,52,-10,82,7,-3,8,6,4
22020,,,"Fargo, ND-MN",Metropolitan Statistical Area,208777,208777,209455,213222,217610,223360,227790,232891,237244,241511,244311,246145,678,3767,4388,5750,4430,5101,4353,4267,2800,1834,738,2992,3148,3208,3346,3423,3489,3534,3330,3362,371,1348,1254,1453,1457,1533,1501,1619,1611,1569,-4,11,57,97,38,15,5,-3,6,-7
22140,,,"Farmington, NM",Metropolitan Statistical Area,130044,130045,130203,129711,129756,129467,129084,128246,127954,126917,125499,123958,158,-492,45,-289,-383,-838,-292,-1037,-1418,-1541,456,1921,1867,1933,1906,1856,1784,1590,1449,1410,201,878,896,901,939,1019,1014,1110,1109,1109,-8,8,7,22,19,14,1,7,2,7
22180,,,"Fayetteville, NC",Metropolitan Statistical Area,481061,481011,490446,499149,502672,509180,510635,511976,516822,517527,522461,526719,9435,8703,3523,6508,1455,1341,4846,705,4934,4258,2030,8691,8387,8245,8789,8326,8208,8261,8192,8096,837,3354,3419,3589,3631,3722,3857,3895,4065,4111,935,21,240,-10,78,46,-8,39,-3,2
22220,,,"Fayetteville-Springdale-Rogers, AR",Metropolitan Statistical Area,440121,440121,442301,452884,462291,471140,480513,491730,503806,515616,525239,534904,2180,10583,9407,8849,9373,11217,12076,11810,9623,9665,1687,6655,6890,6661,6849,6890,7111,7157,7153,7154,688,3098,3266,3266,3206,3577,3505,3622,3642,3560,35,32,87,78,75,71,33,38,24,28
22380,,,"Flagstaff, AZ",Metropolitan Statistical Area,134421,134426,134612,134275,136146,136699,137566,138962,140407,141001,142523,143476,186,-337,1871,553,867,1396,1445,594,1522,953,430,1803,1725,1681,1666,1677,1603,1559,1500,1513,165,723,726,740,709,784,831,884,902,901,-10,9,44,-14,-22,2,2,-4,10,3
22420,,,"Flint, MI",Metropolitan Statistical Area,425790,425787,424953,422026,418193,415639,412859,410461,408926,407488,406688,405813,-834,-2927,-3833,-2554,-2780,-2398,-1535,-1438,-800,-875,1314,5215,4970,4914,5034,4818,4787,4752,4678,4600,1101,4138,4197,4226,4439,4694,4437,4666,4561,4557,42,18,105,40,35,-5,-7,-4,-7,-9
22500,,,"Florence, SC",Metropolitan Statistical Area,205566,205576,205662,205800,206041,205986,206426,206235,205854,205476,205036,204911,86,138,241,-55,440,-191,-381,-378,-440,-125,606,2615,2629,2579,2502,2576,2486,2383,2445,2351,484,2274,2200,2424,2201,2284,2288,2478,2379,2398,-21,-3,-35,-37,-42,-16,-6,-8,-4,-9
22520,,,"Florence-Muscle Shoals, AL",Metropolitan Statistical Area,147137,147137,147261,147146,147232,147230,147462,146876,146922,147259,147608,147970,124,-115,86,-2,232,-586,46,337,349,362,401,1554,1515,1533,1533,1558,1571,1509,1524,1506,357,1772,1692,1848,1807,1842,1836,1895,1823,1855,-17,-7,-21,-18,-20,-15,-9,-7,-3,-8
22540,,,"Fond du Lac, WI",Metropolitan Statistical Area,101633,101623,101576,101810,101788,101787,101977,101955,102211,102417,103001,103403,-47,234,-22,-1,190,-22,256,206,584,402,304,1097,1125,1125,1069,1075,1056,1101,1028,1068,253,916,910,976,940,939,887,949,968,911,-2,-4,-6,-5,-8,-4,-6,-3,-5,-8
22660,,,"Fort Collins, CO",Metropolitan Statistical Area,299630,299630,300441,305246,310842,316225,324008,333303,338984,344084,350660,356899,811,4805,5596,5383,7783,9295,5681,5100,6576,6239,843,3320,3406,3375,3494,3443,3443,3370,3289,3337,487,1870,1871,1989,1982,2257,2184,2412,2368,2295,-1,14,94,69,157,122,23,21,22,22
22900,,,"Fort Smith, AR-OK",Metropolitan Statistical Area,248208,248240,248344,249236,249491,248569,248220,248820,249170,250231,250298,250368,104,892,255,-922,-349,600,350,1061,67,70,773,3233,3302,3087,3219,3223,3117,3182,3289,3228,589,2490,2559,2623,2615,2678,2693,2727,2823,2669,-16,-3,-24,-1,-11,-26,-13,-10,-7,-7
23060,,,"Fort Wayne, IN",Metropolitan Statistical Area,388621,388626,389298,392332,394225,396638,398591,400806,402887,405445,409126,413263,672,3034,1893,2413,1953,2215,2081,2558,3681,4137,1456,5648,5576,5543,5556,5664,5613,5641,5536,5564,642,3167,3245,3303,3340,3563,3516,3763,3494,3474,-20,-15,-44,-52,-62,-53,-17,-21,-16,-12
23420,,,"Fresno, CA",Metropolitan Statistical Area,930450,930507,932039,939406,945045,951514,960567,969488,976830,985238,991950,999101,1532,7367,5639,6469,9053,8921,7342,8408,6712,7151,3898,16320,15944,15729,15854,15652,15250,14759,14696,14506,1591,5996,6267,6522,6322,6601,6567,7060,7460,7467,-9,-11,-11,-45,-144,-93,-14,-33,-10,-19
23460,,,"Gadsden, AL",Metropolitan Statistical Area,104430,104429,104459,104369,104278,103884,103399,102998,102855,103007,102611,102268,30,-90,-91,-394,-485,-401,-143,152,-396,-343,260,1251,1156,1146,1204,1155,1214,1230,1188,1175,287,1355,1408,1347,1386,1380,1407,1379,1464,1487,-13,-4,-18,-17,-13,-10,-8,-6,-3,-6
23540,,,"Gainesville, FL",Metropolitan Statistical Area,305076,305076,305334,306979,308240,308865,311743,316031,321418,324485,327933,329128,258,1645,1261,625,2878,4288,5387,3067,3448,1195,855,3395,3582,3412,3452,3507,3464,3370,3434,3366,518,2466,2366,2509,2517,2619,2584,2727,2804,2838,3,-1,-27,6,-44,1,11,-4,1,6
23580,,,"Gainesville, GA",Metropolitan Statistical Area,179684,179724,180033,182269,184102,186431,189142,192245,196159,198953,201538,204441,309,2236,1833,2329,2711,3103,3914,2794,2585,2903,635,2615,2548,2470,2432,2616,2670,2605,2617,2586,220,1193,1253,1323,1373,1481,1466,1552,1571,1600,-8,-4,-39,-11,12,9,3,6,-1,14
23900,,,"Gettysburg, PA",Metropolitan Statistical Area,101407,101428,101479,101474,101254,101137,101353,101808,101911,102562,103062,103009,51,-5,-220,-117,216,455,103,651,500,-53,269,1049,962,1096,1065,1031,998,981,985,960,201,921,917,1026,968,1033,1050,1003,1075,1013,-10,-2,-10,-7,-17,-14,-4,-5,-5,-4
24020,,,"Glens Falls, NY",Metropolitan Statistical Area,128923,128946,129021,128827,128420,127848,127341,126666,126233,125924,125489,125148,75,-194,-407,-572,-507,-675,-433,-309,-435,-341,283,1255,1269,1219,1147,1133,1123,1110,1126,1074,297,1259,1263,1246,1272,1407,1255,1358,1361,1355,-12,-3,-14,-6,-12,-4,-4,-6,-9,-7
24140,,,"Goldsboro, NC",Metropolitan Statistical Area,122623,122661,122886,124038,124559,124587,124586,124342,124269,123034,123237,123131,225,1152,521,28,-1,-244,-73,-1235,203,-106,403,1661,1768,1728,1736,1696,1634,1577,1650,1608,225,1146,1115,1115,1107,1155,1178,1283,1342,1384,-16,1,-10,6,2,7,-4,9,-6,-2
24220,,,"Grand Forks, ND-MN",Metropolitan Statistical Area,98461,98464,98633,98194,99093,100741,101260,101849,102171,102126,101766,100815,169,-439,899,1648,519,589,322,-45,-360,-951,348,1331,1396,1355,1413,1476,1468,1470,1389,1395,195,838,813,846,795,802,810,879,843,870,-8,5,-8,17,-1,-7,-1,3,3,5
24260,,,"Grand Island, NE",Metropolitan Statistical Area,72726,72744,72936,73547,74238,74652,75240,75319,75598,75456,75476,75553,192,611,691,414,588,79,279,-142,20,77,264,1080,1047,1085,1191,1193,1147,1140,1094,1111,140,709,661,690,645,693,681,768,696,663,-6,-2,-15,-5,-12,6,-1,4,1,-1
24300,,,"Grand Junction, CO",Metropolitan Statistical Area,146723,146733,146259,147174,147317,147175,147113,148025,149736,151170,152951,154210,-474,915,143,-142,-62,912,1711,1434,1781,1259,477,1907,1818,1854,1761,1828,1755,1611,1700,1631,327,1306,1306,1382,1387,1500,1479,1523,1539,1515,31,-6,-30,-19,-18,-4,3,1,4,6
24340,,,"Grand Rapids-Kentwood, MI",Metropolitan Statistical Area,993670,993663,994262,1002556,1013655,1025473,1036234,1044842,1054710,1063670,1071370,1077370,599,8294,11099,11818,10761,8608,9868,8960,7700,6000,3559,13448,13628,13802,13660,13620,13633,13604,13263,13339,1797,6946,7100,7292,7419,7763,7740,7900,7965,7947,28,-28,-96,-31,-130,-95,-45,-42,-34,-39
24420,,,"Grants Pass, OR",Metropolitan Statistical Area,82713,82719,82879,82702,82755,83131,83377,84528,85504,86584,87150,87487,160,-177,53,376,246,1151,976,1080,566,337,216,781,782,821,862,879,866,865,872,866,232,1211,1158,1179,1182,1198,1192,1271,1216,1190,0,-7,-6,5,2,15,1,2,0,-6
24500,,,"Great Falls, MT",Metropolitan Statistical Area,81327,81326,81507,81714,81622,82194,82056,81878,81562,81633,81688,81366,181,207,-92,572,-138,-178,-316,71,55,-322,312,1196,1181,1183,1149,1201,1118,1091,1039,1054,230,818,790,793,800,827,903,932,821,785,-2,-4,4,-10,-5,0,-2,-7,-4,-2
24540,,,"Greeley, CO",Metropolitan Statistical Area,252825,252827,254207,258827,264131,270165,277112,285819,295712,305885,314815,324492,1380,4620,5304,6034,6947,8707,9893,10173,8930,9677,939,3755,3794,3820,3957,4080,4306,4272,4304,4360,369,1444,1455,1567,1618,1725,1742,1837,1882,1856,53,8,64,76,97,82,45,50,31,32
