CBSA,MDIV,STCOU,NAME,LSAD,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,NPOPCHG2010,NPOPCHG2011,NPOPCHG2012,NPOPCHG2013,NPOPCHG2014,NPOPCHG2015,NPOPCHG2016,NPOPCHG2017,NPOPCHG2018,NPOPCHG2019,BIRTHS2010,BIRTHS2011,BIRTHS2012,BIRTHS2013,BIRTHS2014,BIRTHS2015,BIRTHS2016,BIRTHS2017,BIRTHS2018,BIRTHS2019,DEATHS2010,DEATHS2011,DEATHS2012,DEATHS2013,DEATHS2014,DEATHS2015,DEATHS2016,DEATHS2017,DEATHS2018,DEATHS2019,RESIDUAL2010,RESIDUAL2011,RESIDUAL2012,RESIDUAL2013,RESIDUAL2014,RESIDUAL2015,RESIDUAL2016,RESIDUAL2017,RESIDUAL2018,RESIDUAL2019
11700,,,"Asheville, NC",Metropolitan Statistical Area,424858,424863,425338,428113,430945,435795,439661,444593,450310,454855,459314,462680,475,2775,2832,4850,3866,4932,5717,4545,4459,3366,1070,4347,4391,4433,4348,4604,4512,4300,4315,4264,1138,4519,4413,4739,4703,5033,5023,5236,5109,5132,-4,7,26,113,80,54,22,21,15,10
12020,,,"Athens-Clarke County, GA",Metropolitan Statistical Area,192541,192567,193439,194375,195984,197590,198361,202565,205402,209106,211468,213750,872,936,1609,1606,771,4204,2837,3704,2362,2282,593,2249,2218,2208,2203,2206,2204,2184,2236,2178,353,1259,1231,1306,1386,1420,1397,1484,1462,1517,57,4,27,-15,26,41,-1,9,-9,-7
12060,,,"Atlanta-Sandy Springs-Alpharetta, GA",Metropolitan Statistical Area,5286728,5286718,5302598,5366462,5444473,5510530,5593204,5686048,5787965,5872432,5945303,6020364,15880,63864,78011,66057,82674,92844,101917,84467,72871,75061,18132,73833,72554,71136,72496,73726,73312,73339,72422,72487,7717,32074,31386,33699,34075,36037,36493,37477,39676,41038,314,103,425,127,-109,-93,-22,14,17,28
12100,,,"Atlantic City-Hammonton, NJ",Metropolitan Statistical Area,274549,274525,274648,274621,274629,274314,272578,270153,267217,265498,263989,263670,123,-27,8,-315,-1736,-2425,-2936,-1719,-1509,-319,802,3409,3375,3236,3177,3009,2906,2796,2785,2718,550,2568,2467,2651,2533,2634,2681,2815,2759,2793,-10,3,10,-5,53,37,13,8,-1,-8
12220,,,"Auburn-Opelika, AL",Metropolitan Statistical Area,140247,140287,140794,144130,148567,151809,154511,156954,159168,161440,163656,164542,507,3336,4437,3242,2702,2443,2214,2272,2216,886,412,1629,1660,1829,1829,1912,1942,1883,1879,1825,237,807,883,1040,1118,1093,983,1103,1102,1133,7,13,88,35,27,2,0,6,-3,3
12260,,,"Augusta-Richmond County, GA-SC",Metropolitan Statistical Area,564873,564893,566694,570849,576206,579802,583046,589574,595029,600276,604221,608980,1801,4155,5357,3596,3244,6528,5455,5247,3945,4759,1784,7401,7566,7191,7504,7460,7642,7545,7403,7311,1221,4961,4872,5190,5249,5255,5379,5505,5799,5792,23,18,52,62,-48,11,-16,-14,-15,-12
12420,,,"Austin-Round Rock-Georgetown, TX",Metropolitan Statistical Area,1716289,1716323,1727502,1780535,1834586,1883315,1942467,2002134,2062016,2115475,2165497,2227083,11179,53033,54051,48729,59152,59667,59882,53459,50022,61586,6155,25239,24837,25344,26079,26834,26774,26265,26031,26115,1973,8330,8437,9037,9131,9703,10061,10500,11250,11445,456,246,1222,654,1051,537,235,196,153,302
12540,,,"Bakersfield, CA",Metropolitan Statistical Area,839631,839621,840996,847970,853606,862000,869176,876031,880856,887356,893758,900202,1375,6974,5636,8394,7176,6855,4825,6500,6402,6444,3486,14409,14208,14417,14091,14082,13750,13625,13170,13144,1368,5401,5235,5654,5640,5916,5817,6101,6508,6478,23,-11,69,-67,-118,-69,-4,-13,-12,-12
12580,,,"Baltimore-Columbia-Towson, MD",Metropolitan Statistical Area,2710489,2710598,2715738,2733785,2754637,2768233,2780055,2790053,2794111,2798707,2800743,2800053,5140,18047,20852,13596,11822,9998,4058,4596,2036,-690,8467,33972,33638,33436,33627,34521,33945,33126,32740,32143,5529,22613,22543,23642,23213,24256,24495,25531,26106,26272,-207,-44,-420,-310,-385,-210,-59,-86,-65,-74
12620,,,"Bangor, ME",Metropolitan Statistical Area,153923,153931,153861,153759,153347,153222,153201,151929,151333,151645,151817,152148,-70,-102,-412,-125,-21,-1272,-596,312,172,331,416,1445,1480,1460,1454,1437,1455,1421,1445,1378,374,1439,1488,1594,1462,1588,1597,1651,1629,1594,-10,-4,-17,-25,-25,1,-1,-9,-8,-6
12700,,,"Barnstable Town, MA",Metropolitan Statistical Area,215888,215880,215899,215356,214788,214518,214289,213877,213559,213581,213471,212990,19,-543,-568,-270,-229,-412,-318,22,-110,-481,445,1649,1589,1540,1549,1483,1535,1586,1542,1524,707,2868,2683,2884,2858,3004,2902,3041,2902,2917,-19,-12,-55,-16,-28,-26,-17,-15,-14,-21
12940,,,"Baton Rouge, LA",Metropolitan Statistical Area,825905,825917,827629,831493,836197,841986,846827,851167,856723,854295,854526,854884,1712,3864,4704,5789,4841,4340,5556,-2428,231,358,2633,11190,11150,11377,11520,11563,11543,11307,11067,10800,1507,6364,6434,7000,7053,7262,7085,7289,7346,7474,22,12,-36,22,3,-4,-16,29,-4,18
12980,,,"Battle Creek, MI",Metropolitan Statistical Area,136146,136150,135951,135105,134737,134751,134804,134327,134344,134180,134049,134159,-199,-846,-368,14,53,-477,17,-164,-131,110,408,1662,1618,1684,1698,1670,1659,1606,1499,1497,453,1468,1449,1464,1457,1463,1561,1574,1434,1395,-2,4,5,-6,-13,1,-4,-2,-2,-6
13020,,,"Bay City, MI",Metropolitan Statistical Area,107771,107773,107679,107417,106967,106794,106046,105237,104411,104045,103702,103126,-94,-262,-450,-173,-748,-809,-826,-366,-343,-576,297,1154,1070,1029,1087,1029,1048,1026,992,981,310,1160,1190,1138,1158,1297,1247,1276,1192,1163,-10,-3,-12,-13,1,-6,0,-5,-5,-5
13140,,,"Beaumont-Port Arthur, TX",Metropolitan Statistical Area,388745,388749,389251,390905,389614,391195,391651,394825,396539,398129,393815,392563,502,1654,-1291,1581,456,3174,1714,1590,-4314,-1252,1316,5078,5136,5382,5391,5590,5563,5386,5187,4998,821,3735,3715,3944,4075,3989,4069,4157,4208,4073,-19,-11,103,-58,-18,-44,-14,-4,27,6
13220,,,"Beckley, WV",Metropolitan Statistical Area,124898,124914,124949,125266,125110,124356,123342,122070,120475,118673,117154,115767,35,317,-156,-754,-1014,-1272,-1595,-1802,-1519,-1387,374,1547,1537,1532,1458,1345,1303,1246,1140,1125,420,1629,1623,1738,1579,1707,1694,1689,1723,1722,-9,0,-22,-6,-2,-2,-1,2,2,-6
13380,,,"Bellingham, WA",Metropolitan Statistical Area,201140,201146,201545,203490,204863,206073,208154,211836,216417,221410,225197,229247,399,1945,1373,1210,2081,3682,4581,4993,3787,4050,610,2285,2259,2289,2221,2359,2329,2226,2179,2204,359,1430,1474,1602,1539,1565,1662,1741,1652,1662,-24,-2,-33,-24,-17,28,15,26,13,18
13460,,,"Bend, OR",Metropolitan Statistical Area,157733,157728,157742,159660,161359,165299,169512,174246,180666,186744,191905,197692,14,1918,1699,3940,4213,4734,6420,6078,5161,5787,426,1711,1668,1698,1749,1812,1784,1763,1856,1857,370,1216,1307,1333,1339,1398,1451,1541,1479,1548,-18,4,11,74,111,66,41,42,23,32
13740,,,"Billings, MT",Metropolitan Statistical Area,167167,167165,167571,169017,170942,173367,174952,176357,177759,179365,180203,181667,406,1446,1925,2425,1585,1405,1402,1606,838,1464,546,2160,2178,2127,2153,2212,2134,2091,2006,2007,403,1543,1516,1640,1528,1630,1758,1665,1733,1653,5,-3,7,22,-4,-13,-6,-8,-5,-5
13780,,,"Binghamton, NY",Metropolitan Statistical Area,251725,251724,251489,250238,248945,248017,247075,245283,243322,241709,240366,238691,-235,-1251,-1293,-928,-942,-1792,-1961,-1613,-1343,-1675,627,2526,2572,2555,2642,2575,2466,2436,2374,2345,556,2579,2482,2540,2511,2622,2461,2658,2538,2605,-1,3,24,-1,13,13,8,2,3,5
13820,,,"Birmingham-Hoover, AL",Metropolitan Statistical Area,1061024,1061039,1061717,1064030,1067563,1072882,1076087,1079752,1082877,1085615,1087967,1090435,678,2313,3533,5319,3205,3665,3125,2738,2352,2468,3368,13985,13969,13726,13474,13925,13675,13389,13405,13084,2401,10302,10142,10656,10364,10903,10699,11127,11392,11356,4,-14,-80,-98,-192,-97,-46,-53,-34,-39
13900,,,"Bismarck, ND",Metropolitan Statistical Area,110625,110625,111112,112865,115679,119240,122155,125325,127233,128115,128279,128949,487,1753,2814,3561,2915,3170,1908,882,164,670,406,1500,1611,1643,1790,1901,1898,1814,1670,1636,258,923,927,927,937,1012,995,1063,1072,1055,19,4,70,77,49,24,1,-7,3,-2
13980,,,"Blacksburg-Christiansburg, VA",Metropolitan Statistical Area,162958,162960,163131,163442,164120,165240,165688,165725,166572,166605,167492,167531,171,311,678,1120,448,37,847,33,887,39,381,1452,1545,1585,1497,1486,1471,1473,1448,1422,259,1327,1327,1432,1362,1364,1404,1427,1461,1435,-20,7,-5,-6,-7,1,-5,6,1,1
14010,,,"Bloomington, IL",Metropolitan Statistical Area,169572,169577,169810,170909,172721,175037,174105,173141,173070,172754,172410,171517,233,1099,1812,2316,-932,-964,-71,-316,-344,-893,527,2149,2079,2222,2054,2089,2074,2029,1887,1877,327,1100,1043,1182,1115,1179,1172,1172,1239,1246,-16,1,-32,-9,68,36,6,13,7,11
14020,,,"Bloomington, IN",Metropolitan Statistical Area,159549,159535,160132,161722,162852,163221,164422,165073,166655,167429,168092,169230,597,1590,1130,369,1201,651,1582,774,663,1138,439,1467,1534,1493,1527,1574,1548,1439,1475,1406,306,1067,1060,1152,1039,1171,1234,1209,1212,1203,11,6,-26,-6,-23,-9,-1,-5,5,-2
