NAME,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Carbondale-Marion, IL",0.2,0.4,-0.9,1.0,-0.3,-0.2,-0.6,-0.9,-0.5,-0.7
"Carson City, NV",-0.5,-0.6,-0.7,-1.1,0.7,-0.0,0.1,0.7,1.2,1.3
"Casper, WY",0.0,1.2,2.8,3.1,0.3,0.9,-1.5,-1.7,-0.5,0.9
"Cedar Rapids, IA",0.2,1.0,0.3,0.3,0.6,0.8,0.7,0.9,0.5,0.4
"Chambersburg-Waynesboro, PA",0.2,0.7,0.4,0.3,0.4,0.3,0.4,0.4,0.1,0.3
"Champaign-Urbana, IL",0.2,0.7,0.6,0.8,0.7,0.6,0.4,0.1,-0.2,-0.1
"Charleston, WV",-0.1,-0.4,-0.0,-0.5,-0.7,-1.0,-1.0,-1.5,-1.5,-1.2
"Charleston-North Charleston, SC",0.4,2.0,2.2,2.0,2.1,2.5,2.2,1.8,1.6,1.7
"Charlotte-Concord-Gastonia, NC-SC",0.3,1.4,1.6,1.7,1.7,1.9,2.1,2.0,1.6,1.7
"Charlottesville, VA",0.2,0.8,0.9,0.6,1.2,1.1,1.0,1.1,0.6,0.6
"Chattanooga, TN-GA",0.2,0.8,0.8,0.8,0.4,0.6,0.8,0.7,0.9,0.8
"Cheyenne, WY",0.4,0.4,2.2,1.1,0.3,1.0,0.9,0.5,0.5,0.6
"Chicago-Naperville-Elgin, IL-IN-WI",0.1,0.3,0.3,0.2,0.1,-0.1,-0.2,-0.2,-0.3,-0.3
"Chico, CA",-0.0,0.0,0.4,0.3,0.8,0.5,0.7,1.1,0.7,-5.1
"Cincinnati, OH-KY-IN",0.1,0.3,0.3,0.4,0.5,0.4,0.5,0.5,0.4,0.4
"Clarksville, TN-KY",0.4,0.9,3.5,-0.7,1.4,1.1,0.3,1.6,1.9,1.1
"Cleveland, TN",0.1,0.6,0.9,0.6,0.9,0.9,0.5,0.8,1.4,0.8
"Cleveland-Elyria, OH",-0.1,-0.3,-0.2,0.1,0.0,-0.2,-0.1,-0.2,-0.2,-0.3
"Coeur d'Alene, ID",0.3,1.5,0.8,1.3,1.8,1.9,2.4,2.7,2.4,2.7
"College Station-Bryan, TX",0.3,0.9,1.2,1.5,2.1,3.1,1.5,1.8,0.8,1.3
"Colorado Springs, CO",0.8,1.5,1.3,1.3,1.2,1.6,2.1,1.7,1.7,1.2
