,_id,CBSA,MSA,2024_Pop_ROC,2024_Unem_Rate,2024_Emp_ROC,2024_GDP_ROC,2024_Bus_ROC,2024_CPI,2024_AMW_ROC,2024_LP_ROC,Pop_Score,Unem_Score,Emp_Score,GDP_Score,Bus_Score,CPI_Score,AMW_Score,LP_Score,Total_Score,Overall_Rank
0,60413a1d2eee1da2ff615bd8,11540,"Appleton, WI",2.4254750518964254,2.4291474536447053,4.117285961263812,18.197460032113735,-22.772277227722775,255.83376730001717,10.132743362831858,-0.19895243690731243,236.0,273.5,259.0,313.0,4.0,192.0,318.0,113.0,1708.5,128.0
1,60413a1d2eee1da2ff615bd9,12020,"Athens-Clarke County, GA",5.618245614035088,2.6321942703010697,7.509379997539672,17.734065627116884,11.188463451019395,265.9255038284625,-0.0748983522362508,-0.9722673482691211,323.0,208.0,337.0,303.0,263.0,177.0,21.0,39.0,1671.0,137.0
2,60413a1d2eee1da2ff615bda,14010,"Bloomington, IL",-0.04605957426960593,2.7295199105935564,0.0026912587914453855,18.314714020198796,-6.3305978898007025,255.83376730001717,14.848374132261599,-0.7330249601464609,52.0,176.0,98.0,316.0,30.0,192.0,384.0,46.0,1294.0,268.0
3,60413a1d2eee1da2ff615bdb,15540,"Burlington-South Burlington, VT",1.941826859820971,2.399999999988619,4.1038715995127655,11.681977110743818,117.94217687074831,289.63399347688846,0.09075754769401741,-0.18267229545345592,218.0,281.0,258.0,152.0,384.0,162.0,37.0,117.0,1609.0,158.0
4,60413a1d2eee1da2ff615bdc,20100,"Dover, DE",5.322867921188588,2.5937527321240634,6.537502477907499,0.10739136704347826,-23.80441446965052,265.9255038284625,8.337639965546941,0.32996013732581225,313.0,228.0,323.0,48.0,3.0,177.0,218.0,274.0,1584.0,166.5
5,60413a1d2eee1da2ff615bdd,20740,"Eau Claire, WI",2.337215895666966,2.6291841496307686,3.3458236998060005,15.903086862068061,1.4109347442680775,255.83376730001717,-4.406402845709204,-0.15278010874949047,235.0,210.5,242.0,268.0,159.0,192.0,1.0,127.0,1434.5,221.0
6,60413a1d2eee1da2ff615bde,24260,"Grand Island, NE",0.3269228223895808,2.380151946486333,2.0223071282466907,6.299180070674377,-0.6880733944954129,255.83376730001717,10.935490562124041,-0.4425966668154213,167.0,293.0,217.0,88.0,113.0,192.0,349.5,68.0,1487.5,199.0
7,60413a1d2eee1da2ff615bdf,24420,"Grants Pass, OR",3.2919176563375134,5.40313985551625,1.868429397272971,20.036399998220052,5.61941251596424,299.7671195513341,9.676611725432924,-0.23201920903253986,264.0,13.0,215.0,351.0,214.0,147.0,294.5,103.0,1601.5,161.5
8,60413a1d2eee1da2ff615be0,26420,"Houston-The Woodlands-Sugar Land, TX",4.479078467299194,2.5674477218546676,9.879270702610292,9.283261706620257,20.27814799791389,265.9255038284625,2.8262066434208113,0.39777622271894963,295.0,232.5,370.0,117.0,337.0,177.0,96.0,282.0,1906.5,60.0
9,60413a1d2eee1da2ff615be1,26900,"Indianapolis-Carmel-Anderson, IN",4.9024432921659145,2.616697931937238,6.078899868095249,13.93576056908969,-0.7091001181833531,255.83376730001717,9.014884449667058,-0.08994574382061718,309.0,219.0,309.0,213.0,112.0,192.0,262.0,143.0,1759.0,104.0
10,60413a1d2eee1da2ff615be2,27060,"Ithaca, NY",-0.09395184967704051,2.3674245410888264,-0.01729305971869956,10.177449554417302,-0.8347245409015025,289.63399347688846,14.4009900990099,-1.2650555971043638,46.0,300.5,55.0,127.0,105.0,162.0,383.0,30.0,1208.5,292.5
11,60413a1d2eee1da2ff615be3,27140,"Jackson, MS",-0.010927932804981793,3.055985753162684,2.447695283009111,7.4137502045587835,-5.304919519383359,265.9255038284625,5.444675444675444,1.0410529056816855,66.0,137.5,228.0,92.0,39.0,177.0,118.0,324.0,1181.5,305.0
12,60413a1d2eee1da2ff615be4,28100,"Kankakee, IL",-0.1638419107607726,4.727448120471204,-0.08237232289950577,21.301073795289984,8.506944444444445,255.83376730001717,10.167202572347268,-0.09853091176828058,38.0,46.0,24.0,367.0,246.0,192.0,321.0,141.0,1375.0,241.0
13,60413a1d2eee1da2ff615be5,28660,"Killeen-Temple, TX",6.457920109145497,2.06286250850768,3.5285633555722367,10.413488267576655,20.540851553509782,265.9255038284625,10.621818986501438,-0.44142758517955955,335.0,359.5,246.0,129.0,339.0,177.0,340.0,69.0,1994.5,33.0
14,60413a1d2eee1da2ff615be6,32580,"McAllen-Edinburg-Mission, TX",2.6980328234951485,4.756455319381519,8.18053418749527,14.302832969526133,13.148283418553689,265.9255038284625,6.703970157207567,0.8401240281766111,244.0,44.0,349.0,221.0,278.0,177.0,134.0,315.0,1762.0,100.5
15,60413a1d2eee1da2ff615be7,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",4.3593441066492895,2.464124451788653,-0.0022997027147016098,16.67258271614959,11.585911993296929,255.83376730001717,9.548136907772719,0.19230408065820545,292.0,269.0,86.0,283.0,267.0,192.0,288.0,256.0,1933.0,50.0
16,60413a1d2eee1da2ff615be8,40980,"Saginaw, MI",-1.6484814132539796,2.6616916325163773,-0.4311896957665851,10.533551861881215,-9.345794392523365,255.83376730001717,-0.25440749832626647,0.1199612831420983,9.0,201.0,9.0,133.0,18.0,192.0,10.5,235.0,807.5,369.0
17,60413a1d2eee1da2ff615be9,41140,"St. Joseph, MO-KS",0.09503046564928168,2.651206909962985,0.20325482386870838,13.981008240236548,-0.7473841554559043,255.83376730001717,10.912844036697248,-0.42832789174833696,149.0,205.0,155.0,214.0,110.0,192.0,348.0,71.0,1444.0,216.0
