,CBSA,year,Population,NAME
110,26900,2010,1892640,"Indianapolis-Carmel-Anderson, IN"
111,26900,2011,1910719,"Indianapolis-Carmel-Anderson, IN"
112,26900,2012,1929678,"Indianapolis-Carmel-Anderson, IN"
113,26900,2013,1953600,"Indianapolis-Carmel-Anderson, IN"
114,26900,2014,1971006,"Indianapolis-Carmel-Anderson, IN"
115,26900,2015,1986119,"Indianapolis-Carmel-Anderson, IN"
116,26900,2016,2006760,"Indianapolis-Carmel-Anderson, IN"
117,26900,2017,2027584,"Indianapolis-Carmel-Anderson, IN"
118,26900,2018,2052368,"Indianapolis-Carmel-Anderson, IN"
119,26900,2019,2074537,"Indianapolis-Carmel-Anderson, IN"
120,27060,2010,101740,"Ithaca, NY"
121,27060,2011,101821,"Ithaca, NY"
122,27060,2012,102726,"Ithaca, NY"
123,27060,2013,103553,"Ithaca, NY"
124,27060,2014,103391,"Ithaca, NY"
125,27060,2015,103006,"Ithaca, NY"
126,27060,2016,102942,"Ithaca, NY"
127,27060,2017,102664,"Ithaca, NY"
128,27060,2018,102419,"Ithaca, NY"
129,27060,2019,102180,"Ithaca, NY"
130,27140,2010,588272,"Jackson, MS"
131,27140,2011,593409,"Jackson, MS"
132,27140,2012,595585,"Jackson, MS"
133,27140,2013,596325,"Jackson, MS"
134,27140,2014,597357,"Jackson, MS"
135,27140,2015,597928,"Jackson, MS"
136,27140,2016,599170,"Jackson, MS"
137,27140,2017,599358,"Jackson, MS"
138,27140,2018,597376,"Jackson, MS"
139,27140,2019,594806,"Jackson, MS"
140,28100,2010,113418,"Kankakee, IL"
141,28100,2011,113519,"Kankakee, IL"
142,28100,2012,112974,"Kankakee, IL"
143,28100,2013,112735,"Kankakee, IL"
144,28100,2014,111883,"Kankakee, IL"
145,28100,2015,111750,"Kankakee, IL"
146,28100,2016,111080,"Kankakee, IL"
147,28100,2017,110540,"Kankakee, IL"
148,28100,2018,109953,"Kankakee, IL"
149,28100,2019,109862,"Kankakee, IL"
150,28660,2010,408262,"Killeen-Temple, TX"
151,28660,2011,412348,"Killeen-Temple, TX"
152,28660,2012,423475,"Killeen-Temple, TX"
153,28660,2013,423931,"Killeen-Temple, TX"
154,28660,2014,426421,"Killeen-Temple, TX"
155,28660,2015,432583,"Killeen-Temple, TX"
156,28660,2016,436421,"Killeen-Temple, TX"
157,28660,2017,442998,"Killeen-Temple, TX"
158,28660,2018,451272,"Killeen-Temple, TX"
159,28660,2019,460303,"Killeen-Temple, TX"
160,32580,2010,779149,"McAllen-Edinburg-Mission, TX"
161,32580,2011,795517,"McAllen-Edinburg-Mission, TX"
162,32580,2012,808334,"McAllen-Edinburg-Mission, TX"
163,32580,2013,818619,"McAllen-Edinburg-Mission, TX"
164,32580,2014,829819,"McAllen-Edinburg-Mission, TX"
165,32580,2015,839667,"McAllen-Edinburg-Mission, TX"
166,32580,2016,848960,"McAllen-Edinburg-Mission, TX"
167,32580,2017,856249,"McAllen-Edinburg-Mission, TX"
168,32580,2018,862298,"McAllen-Edinburg-Mission, TX"
169,32580,2019,868707,"McAllen-Edinburg-Mission, TX"
170,33460,2010,3340007,"Minneapolis-St. Paul-Bloomington, MN-WI"
171,33460,2011,3373392,"Minneapolis-St. Paul-Bloomington, MN-WI"
172,33460,2012,3405952,"Minneapolis-St. Paul-Bloomington, MN-WI"
173,33460,2013,3440782,"Minneapolis-St. Paul-Bloomington, MN-WI"
174,33460,2014,3476192,"Minneapolis-St. Paul-Bloomington, MN-WI"
