,MSA,year,value
2755,"Anniston-Oxford, AL",2022,5.072127621
3138,"Anniston-Oxford, AL",2023,5.056323118
3521,"Anniston-Oxford, AL",2024,5.046358147
245,"Appleton, WI",2015,3.9
628,"Appleton, WI",2016,3.6
1011,"Appleton, WI",2017,3.2
1394,"Appleton, WI",2018,2.8
1777,"Appleton, WI",2019,2.7
2160,"Appleton, WI",2020,2.619777343
2543,"Appleton, WI",2021,2.555420597
2926,"Appleton, WI",2022,2.503791906
3309,"Appleton, WI",2023,2.462373999
3692,"Appleton, WI",2024,2.429147454
285,"Asheville, NC",2015,4.6
668,"Asheville, NC",2016,4.3
1051,"Asheville, NC",2017,3.8
1434,"Asheville, NC",2018,3.3
1817,"Asheville, NC",2019,3.1
2200,"Asheville, NC",2020,2.936310522
2583,"Asheville, NC",2021,2.802339297
2966,"Asheville, NC",2022,2.692690897
3349,"Asheville, NC",2023,2.602949451
3732,"Asheville, NC",2024,2.529500799
308,"Athens-Clarke County, GA",2015,5.7
691,"Athens-Clarke County, GA",2016,5.2
1074,"Athens-Clarke County, GA",2017,4.6
1457,"Athens-Clarke County, GA",2018,4.2
1840,"Athens-Clarke County, GA",2019,3.9
2223,"Athens-Clarke County, GA",2020,3.616663427
2606,"Athens-Clarke County, GA",2021,3.349064716
2989,"Athens-Clarke County, GA",2022,3.09632971
3372,"Athens-Clarke County, GA",2023,2.857632809
3755,"Athens-Clarke County, GA",2024,2.63219427
168,"Atlanta-Sandy Springs-Alpharetta, GA",2015,5.7
551,"Atlanta-Sandy Springs-Alpharetta, GA",2016,5.2
934,"Atlanta-Sandy Springs-Alpharetta, GA",2017,4.7
1317,"Atlanta-Sandy Springs-Alpharetta, GA",2018,4.2
1700,"Atlanta-Sandy Springs-Alpharetta, GA",2019,3.9
2083,"Atlanta-Sandy Springs-Alpharetta, GA",2020,3.611339614
2466,"Atlanta-Sandy Springs-Alpharetta, GA",2021,3.33359022
2849,"Atlanta-Sandy Springs-Alpharetta, GA",2022,3.066339396
3232,"Atlanta-Sandy Springs-Alpharetta, GA",2023,2.809190309
3615,"Atlanta-Sandy Springs-Alpharetta, GA",2024,2.561761128
341,"Atlantic City-Hammonton, NJ",2015,9.6
724,"Atlantic City-Hammonton, NJ",2016,8.7
1107,"Atlantic City-Hammonton, NJ",2017,7.5
1490,"Atlantic City-Hammonton, NJ",2018,6.5
1873,"Atlantic City-Hammonton, NJ",2019,6.8
2256,"Atlantic City-Hammonton, NJ",2020,6.986640254
2639,"Atlantic City-Hammonton, NJ",2021,7.102755535
3022,"Atlantic City-Hammonton, NJ",2022,7.174994821
3405,"Atlantic City-Hammonton, NJ",2023,7.219937349
3788,"Atlantic City-Hammonton, NJ",2024,7.247897633
45,"Auburn-Opelika, AL",2015,5.2
428,"Auburn-Opelika, AL",2016,4.7
811,"Auburn-Opelika, AL",2017,4.2
1194,"Auburn-Opelika, AL",2018,3.8
1577,"Auburn-Opelika, AL",2019,3.5
1960,"Auburn-Opelika, AL",2020,3.205904484
2343,"Auburn-Opelika, AL",2021,2.917597244
