NAME,Rank_Total
"Lafayette-West Lafayette, IN",1347.5
"Lake Charles, LA",1432
"Lake Havasu City-Kingman, AZ",1621
"Lakeland-Winter Haven, FL",1831.5
"Lancaster, PA",1799.5
"Lansing-East Lansing, MI",1350.5
"Laredo, TX",1582.5
"Las Cruces, NM",978
"Las Vegas-Henderson-Paradise, NV",1509
"Lawrence, KS",1681.5
"Lawton, OK",997
"Lebanon, PA",1642.5
"Lewiston, ID-WA",1687.5
"Lewiston-Auburn, ME",1574
"Lexington-Fayette, KY",1759.5
"Lima, OH",1191
"Lincoln, NE",2268.5
"Little Rock-North Little Rock-Conway, AR",1489.5
"Logan, UT-ID",2067.5
"Longview, TX",1551
"Longview, WA",1990
"Los Angeles-Long Beach-Anaheim, CA",1926
"Louisville-Jefferson County, KY-IN",1540
"Lubbock, TX",2191
"Lynchburg, VA",1669
"Macon-Bibb County, GA",1170
"Madera, CA",1214
"Madison, WI",1910
"Manchester-Nashua, NH",1357
"Manhattan, KS",1342.5
"Mankato, MN",1762
"Mansfield, OH",784
"McAllen-Edinburg-Mission, TX",1762
"Medford, OR",1367
"Memphis, TN-MS-AR",1268.5
"Merced, CA",1716
"Miami-Fort Lauderdale-Pompano Beach, FL",2079.5
"Michigan City-La Porte, IN",814
"Midland, MI",1361.5
"Midland, TX",1614.5
"Milwaukee-Waukesha, WI",1419
"Minneapolis-St. Paul-Bloomington, MN-WI",1933
"Missoula, MT",1808
"Mobile, AL",1166.5
"Modesto, CA",1761
"Monroe, LA",948
"Monroe, MI",1028.5
"Montgomery, AL",1123
"Morgantown, WV",1870.5
"Morristown, TN",1514
"Mount Vernon-Anacortes, WA",1873.5
"Muncie, IN",625.5
"Muskegon, MI",1183.5
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",1918.5
"Napa, CA",1719.5
"Naples-Marco Island, FL",2138.5
"Nashville-Davidson-Murfreesboro-Franklin, TN",1754
"New Bern, NC",1293
"New Haven-Milford, CT",1154.5
"New Orleans-Metairie, LA",1005.5
"New York-Newark-Jersey City, NY-NJ-PA",1402.5
"Niles, MI",771.5
"North Port-Sarasota-Bradenton, FL",1948.5
"Norwich-New London, CT",1501.5
"Ocala, FL",1725.5
"Ocean City, NJ",787
"Odessa, TX",1162
"Ogden-Clearfield, UT",1875
"Oklahoma City, OK",1847.5
"Olympia-Lacey-Tumwater, WA",1898
"Omaha-Council Bluffs, NE-IA",1950
"Orlando-Kissimmee-Sanford, FL",2356.5
"Oshkosh-Neenah, WI",1617
"Owensboro, KY",1449
"Oxnard-Thousand Oaks-Ventura, CA",1465
"Palm Bay-Melbourne-Titusville, FL",1659
"Panama City, FL",1558.5
"Parkersburg-Vienna, WV",1171
