CBSA,NAME,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019
38940,"Port St. Lucie, FL",425173,428287,431912,436425,443164,452841,463891,472864,481167,489297
39100,"Poughkeepsie-Newburgh-Middletown, NY",671173,672230,670722,670588,669972,669842,670828,673303,676065,679158
39150,"Prescott Valley-Prescott, AZ",210983,211044,211990,214421,217716,220805,224575,228082,231772,235099
39300,"Providence-Warwick, RI-MA",1603125,1602957,1605741,1607460,1611026,1612928,1614840,1616614,1622379,1624578
39340,"Provo-Orem, UT",530262,541001,549980,561534,571059,583218,601304,618035,633149,648252
39380,"Pueblo, CO",159390,160184,160721,161033,161356,163006,164774,166283,167422,168424
39460,"Punta Gorda, FL",159875,159869,162744,164671,168041,172382,177671,181522,184849,188910
39540,"Racine, WI",195406,194908,194594,194680,194786,194672,194846,195825,196357,196311
39580,"Raleigh-Cary, NC",1137383,1162179,1187848,1213499,1241189,1271091,1303854,1334235,1361590,1390785
39660,"Rapid City, SD",126727,127903,130075,132320,134231,134858,136450,138444,140154,142107
39740,"Reading, PA",412039,413008,413518,413915,414559,415138,415784,417511,420529,421164
39820,"Redding, CA",177274,177588,177875,178397,178844,178314,178571,179384,179709,180080
39900,"Reno, NV",425951,427901,431208,434878,440110,446329,453709,460605,468335,475642
40060,"Richmond, VA",1188246,1197059,1211015,1222549,1235006,1246665,1258471,1269566,1281053,1291900
40140,"Riverside-San Bernardino-Ontario, CA",4242424,4294897,4334716,4369493,4415343,4461227,4512041,4565909,4612542,4650631
40220,"Roanoke, VA",308589,309134,310479,311878,312747,313152,312647,312988,313033,313222
40340,"Rochester, MN",207222,208473,209547,211502,212659,213933,216163,217993,219814,221921
40380,"Rochester, NY",1079974,1081557,1081508,1081736,1080094,1077092,1074063,1071962,1071621,1069644
40420,"Rockford, IL",349184,347773,345819,344692,342409,340727,339635,338194,337110,336116
40580,"Rocky Mount, NC",152405,151790,150862,149843,149066,147529,147236,146775,146078,145770
40660,"Rome, GA",96431,96161,95940,95880,95868,96186,96698,97500,97964,98498
40900,"Sacramento-Roseville-Folsom, CA",2153613,2172948,2190266,2210512,2235640,2263121,2291533,2319572,2341940,2363730
40980,"Saginaw, MI",199862,198899,198363,196794,195248,193305,192507,191965,190791,190539
41060,"St. Cloud, MN",189218,190090,190562,191552,193109,195425,196912,198436,200166,201964
41100,"St. George, UT",138389,141249,144139,146987,151081,154650,159352,165929,171567,177556
41140,"St. Joseph, MO-KS",127271,127700,127908,127635,127261,126724,126597,126323,125998,125223
41180,"St. Louis, MO-IL",2789989,2795155,2796682,2799472,2803430,2807503,2805502,2805758,2803958,2803228
41420,"Salem, OR",391479,393978,396076,398015,402092,408022,416818,424242,430404,433903
41500,"Salinas, CA",416373,420456,424788,426712,428475,430552,433953,434534,433950,434061
41540,"Salisbury, MD-DE",374821,378196,381216,384567,388766,393526,398676,404155,409999,415726
41620,"Salt Lake City, UT",1091478,1106800,1123748,1140025,1151447,1164912,1184721,1204205,1218681,1232696
41660,"San Angelo, TX",113422,114513,116071,117519,119233,120390,120535,120365,120834,122027
41700,"San Antonio-New Braunfels, TX",2153009,2193923,2236981,2280002,2328894,2379232,2426276,2472121,2512379,2550960
41740,"San Diego-Chula Vista-Carlsbad, CA",3103212,3137156,3174335,3209768,3248877,3280850,3306089,3321237,3333861,3338330
41860,"San Francisco-Oakland-Berkeley, CA",4343634,4395725,4455473,4519636,4584981,4647924,4688198,4712421,4726314,4731803
41940,"San Jose-Sunnyvale-Santa Clara, CA",1841556,1868031,1894452,1923664,1949578,1974501,1987593,1992674,1993804,1990660
42020,"San Luis Obispo-Paso Robles, CA",269802,271058,274160,275696,278227,280077,281803,282481,283354,283111
42100,"Santa Cruz-Watsonville, CA",263147,264858,266340,268816,270861,273503,274396,274856,273841,273213
42140,"Santa Fe, NM",144522,145847,146722,147465,147782,148098,148758,149491,149761,150358
42200,"Santa Maria-Santa Barbara, CA",424231,425453,429699,434601,439045,442229,444340,445298,445780,446499
42220,"Santa Rosa-Petaluma, CA",484755,487421,489993,494073,498560,500863,502547,502469,498643,494336
42340,"Savannah, GA",348640,355582,361745,365103,371275,377827,383153,386394,389453,393353
42540,"Scranton--Wilkes-Barre, PA",563740,563676,563704,561495,560146,557734,555722,555655,555215,553885
42660,"Seattle-Tacoma-Bellevue, WA",3449241,3503891,3558829,3612347,3675160,3739654,3816355,3885579,3935179,3979845
42680,"Sebastian-Vero Beach, FL",138270,139103,140473,141895,144445,147434,151159,154241,157187,159923
42700,"Sebring-Avon Park, FL",98635,98477,98222,98077,98584,100137,102041,103852,104933,106221
43100,"Sheboygan, WI",115524,115208,114767,114697,114982,115196,115030,115089,115233,115340
43300,"Sherman-Denison, TX",121034,121430,121854,122362,123599,125628,128291,131152,133787,136212
43340,"Shreveport-Bossier City, LA",399935,403880,407435,406237,404534,404000,401947,400161,397281,394706
43420,"Sierra Vista-Douglas, AZ",131822,133097,132017,129578,127314,126454,125686,124864,126411,125922
43580,"Sioux City, IA-NE-SD",143901,144171,143723,143623,143590,143736,143844,143165,143787,144701
43620,"Sioux Falls, SD",229099,232150,237032,241772,246133,250012,254602,260083,263810,268232
43780,"South Bend-Mishawaka, IN-MI",319044,318884,318296,318639,319410,319703,321144,321538,322697,323613
43900,"Spartanburg, SC",284731,286102,288176,290414,292981,296558,300867,306740,314137,319785
44060,"Spokane-Spokane Valley, WA",515553,516889,518930,521603,526336,532163,541030,550259,558827,568521
44100,"Springfield, IL",210465,211736,212095,211713,211692,211254,210424,209365,207928,206868
44140,"Springfield, MA",694935,698017,699061,699964,701671,700688,699804,699387,700138,697382
44180,"Springfield, MO",437349,440432,444329,448427,451556,455593,457917,462090,466273,470300
44220,"Springfield, OH",138274,137811,137171,136638,136311,135746,134723,134549,134528,134083
44300,"State College, PA",154230,155067,155826,158231,159653,160466,162034,162316,162601,162385
44420,"Staunton, VA",118314,118774,118463,119110,119469,120019,120747,121744,122628,123120
44700,"Stockton, CA",687127,694354,699593,702046,711579,722271,732809,743296,752491,762148
44940,"Sumter, SC",142555,142018,142126,142007,141877,141180,141334,140443,140151,140466
45060,"Syracuse, NY",663110,662482,660902,661773,660085,657648,654391,651164,650281,648593
45220,"Tallahassee, FL",369345,371246,375272,373187,375356,377602,378672,383173,384318,387227
45300,"Tampa-St. Petersburg-Clearwater, FL",2788366,2813269,2843636,2880536,2927395,2983928,3048963,3106922,3154649,3194831
45460,"Terre Haute, IN",189523,189541,189555,189089,188240,187365,187241,186846,186726,186367
45500,"Texarkana, TX-AR",149332,149515,149609,149509,149229,149244,149543,149567,149347,148761
45540,"The Villages, FL",94278,97975,101669,106898,112236,117076,122009,124995,128719,132420
45780,"Toledo, OH",651372,650166,648750,648403,647228,645973,645441,644364,643089,641816
45820,"Topeka, KS",234266,234696,234407,233838,233717,233520,233139,232994,232266,231969
45940,"Trenton-Princeton, NJ",367713,367378,368554,369429,368909,368124,367699,368168,368188,367430
46060,"Tucson, AZ",981620,988381,993052,997127,1004229,1009103,1016707,1026391,1036554,1047279
46140,"Tulsa, OK",939833,945750,952484,961904,969421,980926,988706,991330,993135,998626
46220,"Tuscaloosa, AL",239481,240363,242328,244378,246988,249066,250099,250933,251257,252047
46300,"Twin Falls, ID",99987,100620,101128,102662,103912,105216,107252,109142,110095,111290
46340,"Tyler, TX",210408,212764,214811,216475,219642,222390,225161,227195,229749,232751
46520,"Urban Honolulu, HI",956285,967336,977994,986059,987414,991064,992268,986353,979858,974563
46540,"Utica-Rome, NY",299226,298604,297992,297230,295982,293916,292811,292174,291187,289990
46660,"Valdosta, GA",140054,142007,144121,142937,143433,143311,144471,145360,146143,147292
46700,"Vallejo, CA",413967,416342,419674,423659,429006,433409,438858,443511,445725,447643
47020,"Victoria, TX",94102,94765,96447,97518,98548,99649,99914,99597,99466,99742
47220,"Vineland-Bridgeton, NJ",156699,157043,156934,156098,156009,154712,153233,151423,150635,149527
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",1717036,1723208,1734121,1741366,1750937,1756340,1758763,1760926,1763713,1768901
47300,"Visalia, CA",442969,446784,449779,452460,455138,457161,459235,462308,464589,466195
47380,"Waco, TX",253808,255700,256938,258685,260376,262660,264829,268971,271427,273920
47460,"Walla Walla, WA",58915,59444,59329,59361,59510,59932,60008,60512,60615,60760
47580,"Warner Robins, GA",168508,171561,173592,174689,175717,176293,178507,180163,182886,185409
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",5678491,5782319,5878942,5963312,6031945,6093950,6149301,6211341,6247841,6280487
47940,"Waterloo-Cedar Falls, IA",167920,168443,168811,169853,170450,170852,170110,169359,168936,168522
48060,"Watertown-Fort Drum, NY",116592,117752,120235,118490,117971,116371,112980,113157,111866,109834
48140,"Wausau-Weston, WI",162829,162844,162870,163189,163241,163181,162935,163203,163094,163285
48260,"Weirton-Steubenville, WV-OH",124329,123482,122680,122139,121507,120665,119269,118074,116982,116074
48300,"Wenatchee, WA",111264,111876,112669,113110,113894,115586,117221,118325,119501,120629
48540,"Wheeling, WV-OH",147899,147260,146527,145938,144968,144157,142955,141255,140059,138948
48620,"Wichita, KS",623887,625327,628159,630365,632810,635551,637653,637511,637519,640218
48660,"Wichita Falls, TX",151649,150311,151040,151448,151867,150083,150327,150956,150955,151254
48700,"Williamsport, PA",116225,116748,117222,116598,116290,115598,114876,114012,113866,113299
48900,"Wilmington, NC",255699,259141,262759,267700,271863,276848,283580,289447,294273,297533
49020,"Winchester, VA-WV",128652,129954,130910,132278,133526,134284,135739,138020,139492,140566
49180,"Winston-Salem, NC",641245,644266,646794,649901,653250,656277,661024,666640,671129,676008
49340,"Worcester, MA-CT",918935,922378,924856,928346,932278,934604,936422,942147,946113,947404
49420,"Yakima, WA",244256,245926,246127,246485,246870,247800,249327,249922,250562,250873
49620,"York-Hanover, PA",435413,436701,437466,438932,440475,441741,443693,445484,447847,449058
49660,"Youngstown-Warren-Boardman, OH-PA",564826,562347,558530,555850,553039,548798,544582,541545,538226,536081
49700,"Yuba City, CA",167099,166971,166963,167597,168311,169327,170694,172782,173905,175639
49740,"Yuma, AZ",197127,202841,202475,202420,204054,205186,207247,209507,211612,213787
