CBSA,NAME,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019
16820,"Charlottesville, VA",201891,203617,205532,206755,209187,211494,213675,216104,217335,218615
16860,"Chattanooga, TN-GA",529131,533621,538103,542181,544183,547205,551859,555953,560832,565194
16940,"Cheyenne, WY",92236,92576,94697,95707,96036,96969,97887,98377,98865,99500
16980,"Chicago-Naperville-Elgin, IL-IN-WI",9470634,9500870,9528090,9550194,9560430,9552554,9533662,9514113,9484158,9458539
17020,"Chico, CA",219949,219975,220869,221641,223516,224631,226231,228696,230339,219186
17140,"Cincinnati, OH-KY-IN",2140715,2146208,2152554,2162060,2172190,2181427,2191572,2202558,2211936,2221208
17300,"Clarksville, TN-KY",274959,277405,287393,285441,289628,292878,293712,298635,304301,307820
17420,"Cleveland, TN",115896,116569,117673,118410,119455,120543,121184,122180,123968,124942
17460,"Cleveland-Elyria, OH",2075478,2068989,2064776,2067100,2067356,2064012,2060997,2057238,2053795,2048449
17660,"Coeur d'Alene, ID",138848,140932,142084,143897,146529,149367,153019,157320,161209,165697
17780,"College Station-Bryan, TX",229458,231435,234148,237816,242830,250567,254391,259123,261335,264728
17820,"Colorado Springs, CO",650500,660674,669448,678565,686562,697389,712335,724773,737202,745791
17860,"Columbia, MO",190947,194030,196540,198824,200492,202152,204049,205725,206746,208173
17900,"Columbia, SC",769646,776195,783250,790842,798882,809136,817188,824939,831690,838433
17980,"Columbus, GA-AL",309476,315305,322721,327844,325273,322772,319040,315942,318211,321048
18020,"Columbus, IN",76818,77620,79001,79655,80497,81458,82231,82213,82722,83779
18140,"Columbus, OH",1906366,1926338,1947208,1974061,2001635,2027568,2052192,2082581,2104194,2122271
18580,"Corpus Christi, TX",404676,407721,413199,419080,423313,427621,428953,428445,428697,429024
18700,"Corvallis, OR",85574,86266,86678,86167,87215,88333,89918,91790,92442,93053
18880,"Crestview-Fort Walton Beach-Destin, FL",235932,238704,246952,251881,255801,260814,265492,271499,277666,284809
19060,"Cumberland, MD-WV",103170,102629,101833,101267,100587,99879,99428,98575,97894,97284
19100,"Dallas-Fort Worth-Arlington, TX",6392065,6510544,6644559,6753889,6889769,7042566,7194758,7337097,7455756,7573136
19140,"Dalton, GA",142278,142285,142259,141906,142298,143099,143753,144037,144192,144724
19180,"Danville, IL",81640,81414,80862,80585,79783,79170,78494,77689,76702,75758
19300,"Daphne-Fairhope-Foley, AL",183112,186558,190145,194885,199183,202939,207601,212521,217855,223234
19340,"Davenport-Moline-Rock Island, IA-IL",379743,380685,382431,383843,384070,383381,382178,381103,380044,379172
19430,"Dayton-Kettering, OH",799672,800858,801603,801390,801017,800124,801661,803233,805088,807611
19460,"Decatur, AL",153950,154075,153908,153146,152888,152392,152233,151981,152144,152603
19500,"Decatur, IL",110787,110684,110134,109561,108515,107343,106383,105399,104504,104009
19660,"Deltona-Daytona Beach-Ormond Beach, FL",590506,591926,594969,600236,608604,621166,635859,647867,658186,668365
19740,"Denver-Aurora-Lakewood, CO",2554523,2602918,2650274,2700529,2753973,2812896,2856755,2891776,2931665,2967239
19780,"Des Moines-West Des Moines, IA",608930,618299,626778,637846,649652,659522,671055,681413,690915,699292
