,CBSA,year,Population
1231,39380,2013,161033
1232,40580,2013,149843
1233,41860,2013,4519636
1234,42200,2013,434601
1235,45940,2013,369429
1236,47580,2013,174689
1237,48620,2013,630365
1238,12980,2013,134751
1239,13380,2013,206073
1240,13820,2013,1072882
1241,14260,2013,649224
1242,18020,2013,79655
1243,20220,2013,95945
1244,25500,2013,128956
1245,25940,2013,197292
1246,26580,2013,370179
1247,26620,2013,435541
1248,29620,2013,538089
1249,29820,2013,2017193
1250,31340,2013,256832
1251,33340,2013,1571732
1252,36140,2013,95498
1253,39460,2013,164671
1254,41060,2013,191552
1255,43780,2013,318639
1256,45300,2013,2880536
1257,45540,2013,106898
1258,46700,2013,423659
1259,47220,2013,156098
1260,48260,2013,122139
1261,49660,2013,555850
1262,11260,2013,397022
1263,12700,2013,214518
1264,17660,2013,143897
1265,19340,2013,383843
1266,22220,2013,471140
1267,22540,2013,101787
1268,23580,2013,186431
1269,24140,2013,124587
1270,24340,2013,1025473
1271,26140,2013,138829
1272,27260,2013,1393432
1273,27500,2013,160341
1274,27860,2013,125840
1275,28020,2013,257311
1276,29340,2013,202205
1277,33660,2013,430815
1278,33740,2013,205454
1279,36980,2013,116373
1280,38300,2013,2359803
1281,39300,2013,1607460
1282,39900,2013,434878
1283,41740,2013,3209768
1284,42540,2013,561495
1285,42700,2013,98077
1286,46060,2013,997127
1287,46220,2013,244378
1288,46300,2013,102662
1289,47300,2013,452460
1290,11020,2013,125836
1291,12260,2013,579802
1292,12580,2013,2768233
1293,13220,2013,124356
1294,17300,2013,285441
1295,18580,2013,419080
1296,19140,2013,141906
1297,19180,2013,80585
1298,19780,2013,637846
1299,20940,2013,176438
1300,22140,2013,129467
1301,25220,2013,125520
1302,26380,2013,209983
1303,28740,2013,180698
1304,29700,2013,264430
1305,30860,2013,129827
1306,31020,2013,101483
1307,31460,2013,151370
1308,31700,2013,405281
1309,37620,2013,92360
1310,48060,2013,118490
1311,48540,2013,145938
1312,13020,2013,106794
1313,13140,2013,391195
1314,13740,2013,173367
1315,16580,2013,222854
1316,22380,2013,136699
1317,24300,2013,147175
1318,25980,2013,78825
1319,27180,2013,179836
1320,30700,2013,314103
1321,31180,2013,301167
1322,31740,2013,136294
1323,33700,2013,523451
1324,33860,2013,374114
1325,34820,2013,403705
1326,38220,2013,95769
1327,38540,2013,91246
1328,38860,2013,519987
1329,38940,2013,436425
1330,40140,2013,4369493
1331,40220,2013,311878
1332,41540,2013,384567
1333,41620,2013,1140025
1334,43420,2013,129578
1335,44420,2013,119110
1336,45500,2013,149509
1337,46140,2013,961904
1338,47020,2013,97518
1339,47940,2013,169853
1340,10780,2013,154623
1341,11700,2013,435795
1342,12100,2013,274314
1343,14540,2013,164653
1344,16540,2013,151945
1345,19740,2013,2700529
1346,22020,2013,223360
1347,23060,2013,396638
1348,23460,2013,103884
1349,29100,2013,135655
1350,29180,2013,479794
1351,29420,2013,203126
1352,30300,2013,61927
1353,33220,2013,83651
1354,34060,2013,135948
1355,35840,2013,731796
1356,36420,2013,1320148
1357,43100,2013,114697
1358,43300,2013,122362
1359,46660,2013,142937
1360,14460,2013,4702877
1361,15380,2013,1134974
1362,16060,2013,140077
1363,16220,2013,81103
1364,16620,2013,275412
1365,16820,2013,206755
1366,17420,2013,118410
1367,17780,2013,237816
1368,19430,2013,801390
1369,22520,2013,147230
1370,23420,2013,951514
1371,23540,2013,308865
1372,24580,2013,311947
1373,25180,2013,274926
1374,31420,2013,231225
1375,33100,2013,5822754
1376,33260,2013,157628
1377,37860,2013,467086
1378,38900,2013,2311015
1379,42340,2013,365103
1380,44140,2013,699964
1381,44220,2013,136638
1382,45220,2013,373187
1383,47380,2013,258685
1384,47460,2013,59361
1385,49180,2013,649901
1386,10180,2013,167473
1387,10580,2013,877065
1388,12220,2013,151809
1389,11500,2013,116471
1390,14500,2013,309323
1391,14740,2013,252401
1392,17820,2013,678565
1393,19460,2013,153146
1394,19820,2013,4305587
1395,20260,2013,290193
1396,21660,2013,355481
1397,24020,2013,127848
1398,28940,2013,829017
1399,29540,2013,530012
1400,32780,2013,207179
1401,32820,2013,1332114
1402,33540,2013,111900
1403,34620,2013,116831
1404,34900,2013,139580
1405,39150,2013,214421
1406,40060,2013,1222549
1407,40420,2013,344692
1408,43620,2013,241772
1409,44300,2013,158231
1410,44940,2013,142007
1411,45820,2013,233838
1412,46520,2013,986059
1413,47260,2013,1741366
1414,47900,2013,5963312
1415,48900,2013,267700
1416,49020,2013,132278
1417,10420,2013,703621
1418,10740,2013,904953
1419,14100,2013,85592
1420,16740,2013,2358660
1421,16940,2013,95707
1422,17860,2013,198824
1423,18880,2013,251881
1424,25260,2013,150337
1425,25540,2013,1214785
1426,26980,2013,162095
1427,27780,2013,138826
1428,28140,2013,2053850
1429,29020,2013,82738
1430,29460,2013,622633
1431,29940,2013,114713
1432,30140,2013,135804
1433,30620,2013,105055
1434,31140,2013,1232178
1435,35300,2013,862820
1436,36220,2013,149656
1437,39580,2013,1213499
1438,39740,2013,413915
1439,44060,2013,521603
1440,46340,2013,216475
1441,48140,2013,163189
1442,15980,2013,659834
1443,16700,2013,711272
1444,20500,2013,590364
1445,22500,2013,205986
1446,24540,2013,270165
1447,27740,2013,200470
1448,28700,2013,307811
1449,33140,2013,111423
1450,33780,2013,150139
1451,35380,2013,1239584
1452,35660,2013,156129
1453,35980,2013,272976
1454,36100,2013,335083
1455,36500,2013,261852
1456,36540,2013,893864
1457,36780,2013,169283
1458,41660,2013,117519
1459,45460,2013,189089
1460,46540,2013,297230
1461,48300,2013,113110
1462,49620,2013,438932
1463,12540,2013,862000
1464,15680,2013,109224
1465,16180,2013,53726
1466,16300,2013,262706
1467,17020,2013,221641
1468,19060,2013,101267
1469,21820,2013,100933
1470,25420,2013,558139
1471,25620,2013,166971
1472,28420,2013,270766
1473,34580,2013,118255
1474,34940,2013,338987
1475,39100,2013,670588
1476,40380,2013,1081736
1477,41180,2013,2799472
1478,41420,2013,398015
1479,42220,2013,494073
1480,45780,2013,648403
1481,49420,2013,246485
1482,49740,2013,202420
1483,10540,2013,118405
1484,12420,2013,1883315
1485,13460,2013,165299
1486,13980,2013,165240
1487,15260,2013,113781
1488,16020,2013,97177
1489,17460,2013,2067100
1490,17900,2013,790842
1491,18140,2013,1974061
1492,19300,2013,194885
1493,22180,2013,509180
1494,22660,2013,316225
1495,24220,2013,100741
1496,25060,2013,399940
1497,26820,2013,136840
1498,27900,2013,175144
1499,29200,2013,219183
1500,30340,2013,107223
1501,31540,2013,626833
1502,32900,2013,262026
1503,35620,2013,19226449
1504,36260,2013,621224
1505,37460,2013,174596
1506,39340,2013,561534
1507,39540,2013,194680
1508,42680,2013,141895
1509,48660,2013,151448
1510,49700,2013,167597
1511,11100,2013,258896
1512,11460,2013,356040
1513,13900,2013,119240
1514,15180,2013,417357
1515,15500,2013,154162
1516,16860,2013,542181
1517,17140,2013,2162060
1518,18700,2013,86167
1519,19100,2013,6753889
1520,19500,2013,109561
1521,20700,2013,167355
1522,21060,2013,152228
1523,22900,2013,248569
1524,23900,2013,101137
1525,24860,2013,848417
1526,29740,2013,214288
1527,31900,2013,122314
1528,34740,2013,172273
1529,36740,2013,2270149
1530,37980,2013,6030134
1531,38340,2013,129488
1532,41700,2013,2280002
1533,42100,2013,268816
1534,44180,2013,448427
1535,44700,2013,702046
1536,11540,2014,231627
1537,12020,2014,198361
1538,14010,2014,174105
1539,15540,2014,215676
1540,19660,2014,608604
1541,20100,2014,171456
1542,20740,2014,165023
1543,24260,2014,75240
1544,24420,2014,83377
1545,24500,2014,82056
1546,26420,2014,6500199
1547,26900,2014,1971006
1548,27060,2014,103391
1549,27140,2014,597357
1550,28100,2014,111883
1551,28660,2014,426421
1552,32580,2014,829819
1553,33460,2014,3476192
1554,40980,2014,195248
1555,41140,2014,127261
1556,42140,2014,147782
1557,43900,2014,292981
1558,45060,2014,660085
1559,48700,2014,116290
1560,10900,2014,828470
1561,12940,2014,846827
1562,14860,2014,944196
1563,16980,2014,9560430
1564,21140,2014,201423
1565,21300,2014,87177
1566,21340,2014,837089
1567,21420,2014,62790
1568,21500,2014,279423
1569,24660,2014,746497
1570,25860,2014,363035
1571,27980,2014,163036
1572,30780,2014,728190
1573,34100,2014,138280
1574,35100,2014,126778
1575,37900,2014,415479
1576,40340,2014,212659
1577,40660,2014,95868
1578,40900,2014,2235640
1579,41100,2014,151081
1580,41500,2014,428475
1581,42020,2014,278227
1582,42660,2014,3675160
1583,43580,2014,143590
1584,11180,2014,122092
1585,10500,2014,151949
1586,12620,2014,153201
1587,13780,2014,247075
1588,20020,2014,147830
1589,21780,2014,314859
1590,26300,2014,97758
1591,27620,2014,150727
1592,30980,2014,283219
1593,31080,2014,13166609
1594,31860,2014,98670
1595,37100,2014,842297
1596,39660,2014,134231
1597,39820,2014,178844
1598,41940,2014,1949578
1599,43340,2014,404534
1600,44100,2014,211692
1601,49340,2014,932278
1602,12060,2014,5593204
1603,14020,2014,164422
1604,15940,2014,403675
1605,17980,2014,325273
1606,22420,2014,412859
1607,24780,2014,174974
1608,27100,2014,159421
1609,27340,2014,191822
1610,30020,2014,130909
1611,30460,2014,495137
1612,34980,2014,1768350
1613,37340,2014,555548
1614,38060,2014,4488970
1615,39380,2014,161356
1616,40580,2014,149066
1617,41860,2014,4584981
1618,42200,2014,439045
1619,45940,2014,368909
1620,47580,2014,175717
1621,48620,2014,632810
1622,12980,2014,134804
1623,13380,2014,208154
1624,13820,2014,1076087
1625,14260,2014,662624
1626,18020,2014,80497
1627,20220,2014,96481
1628,25500,2014,130420
1629,25940,2014,201725
1630,26580,2014,368938
1631,26620,2014,440395
1632,29620,2014,540028
1633,29820,2014,2053134
1634,31340,2014,257953
1635,33340,2014,1575002
1636,36140,2014,94907
1637,39460,2014,168041
1638,41060,2014,193109
1639,43780,2014,319410
1640,45300,2014,2927395
1641,45540,2014,112236
1642,46700,2014,429006
1643,47220,2014,156009
1644,48260,2014,121507
1645,49660,2014,553039
1646,11260,2014,397996
1647,12700,2014,214289
1648,17660,2014,146529
1649,19340,2014,384070
1650,22220,2014,480513
1651,22540,2014,101977
1652,23580,2014,189142
1653,24140,2014,124586
1654,24340,2014,1036234
1655,26140,2014,138828
1656,27260,2014,1416446
1657,27500,2014,160920
1658,27860,2014,126813
1659,28020,2014,258951
1660,29340,2014,203296
1661,33660,2014,431017
1662,33740,2014,205570
1663,36980,2014,116529
1664,38300,2014,2356189
1665,39300,2014,1611026
1666,39900,2014,440110
1667,41740,2014,3248877
1668,42540,2014,560146
1669,42700,2014,98584
1670,46060,2014,1004229
1671,46220,2014,246988
1672,46300,2014,103912
1673,47300,2014,455138
1674,11020,2014,125274
1675,12260,2014,583046
1676,12580,2014,2780055
1677,13220,2014,123342
1678,17300,2014,289628
1679,18580,2014,423313
1680,19140,2014,142298
1681,19180,2014,79783
1682,19780,2014,649652
1683,20940,2014,177974
1684,22140,2014,129084
1685,25220,2014,127010
1686,26380,2014,211368
1687,28740,2014,180400
1688,29700,2014,267465
1689,30860,2014,130804
1690,31020,2014,101790
1691,31460,2014,153456
1692,31700,2014,407275
1693,37620,2014,92259
1694,48060,2014,117971
1695,48540,2014,144968
1696,13020,2014,106046
1697,13140,2014,391651
1698,13740,2014,174952
1699,16580,2014,224351
1700,22380,2014,137566
1701,24300,2014,147113
1702,25980,2014,81120
1703,27180,2014,179358
1704,30700,2014,319634
1705,31180,2014,306056
1706,31740,2014,135665
1707,33700,2014,528015
1708,33860,2014,373476
1709,34820,2014,416065
1710,38220,2014,94882
1711,38540,2014,91265
1712,38860,2014,523989
1713,38940,2014,443164
1714,40140,2014,4415343
1715,40220,2014,312747
1716,41540,2014,388766
1717,41620,2014,1151447
1718,43420,2014,127314
1719,44420,2014,119469
1720,45500,2014,149229
1721,46140,2014,969421
1722,47020,2014,98548
1723,47940,2014,170450
1724,10780,2014,154558
1725,11700,2014,439661
1726,12100,2014,272578
1727,14540,2014,166630
1728,16540,2014,152607
1729,19740,2014,2753973
1730,22020,2014,227790
1731,23060,2014,398591
1732,23460,2014,103399
1733,29100,2014,136140
1734,29180,2014,484876
1735,29420,2014,203423
1736,30300,2014,62031
1737,33220,2014,83492
1738,34060,2014,137396
1739,35840,2014,747228
1740,36420,2014,1336256
1741,43100,2014,114982
1742,43300,2014,123599
1743,46660,2014,143433
1744,14460,2014,4746931
1745,15380,2014,1135060
1746,16060,2014,139658
1747,16220,2014,81377
1748,16620,2014,273606
1749,16820,2014,209187
1750,17420,2014,119455
1751,17780,2014,242830
1752,19430,2014,801017
1753,22520,2014,147462
1754,23420,2014,960567
1755,23540,2014,311743
1756,24580,2014,314003
1757,25180,2014,276755
1758,31420,2014,230441
1759,33100,2014,5893858
1760,33260,2014,162187
1761,37860,2014,470628
1762,38900,2014,2343994
1763,42340,2014,371275
1764,44140,2014,701671
1765,44220,2014,136311
1766,45220,2014,375356
1767,47380,2014,260376
1768,47460,2014,59510
1769,49180,2014,653250
1770,10180,2014,168342
1771,10580,2014,878113
1772,12220,2014,154511
1773,11500,2014,115917
1774,14500,2014,312233
1775,14740,2014,253387
1776,17820,2014,686562
1777,19460,2014,152888
1778,19820,2014,4311194
1779,20260,2014,290261
1780,21660,2014,358027
1781,24020,2014,127341
1782,28940,2014,832928
1783,29540,2014,533289
1784,32780,2014,209189
1785,32820,2014,1333432
1786,33540,2014,112801
1787,34620,2014,116487
1788,34900,2014,140405
1789,39150,2014,217716
1790,40060,2014,1235006
1791,40420,2014,342409
1792,43620,2014,246133
1793,44300,2014,159653
1794,44940,2014,141877
1795,45820,2014,233717
1796,46520,2014,987414
1797,47260,2014,1750937
1798,47900,2014,6031945
1799,48900,2014,271863
1800,49020,2014,133526
1801,10420,2014,704908
1802,10740,2014,904538
1803,14100,2014,85538
1804,16740,2014,2400483
1805,16940,2014,96036
1806,17860,2014,200492
1807,18880,2014,255801
1808,25260,2014,149495
1809,25540,2014,1213886
1810,26980,2014,164759
1811,27780,2014,137537
1812,28140,2014,2069182
1813,29020,2014,82605
1814,29460,2014,634398
1815,29940,2014,116445
1816,30140,2014,136538
1817,30620,2014,104848
1818,31140,2014,1239354
1819,35300,2014,862885
1820,36220,2014,154588
1821,39580,2014,1241189
1822,39740,2014,414559
1823,44060,2014,526336
1824,46340,2014,219642
1825,48140,2014,163241
1826,15980,2014,677232
1827,16700,2014,726836
1828,20500,2014,599236
1829,22500,2014,206426
1830,24540,2014,277112
1831,27740,2014,200021
1832,28700,2014,307198
1833,33140,2014,111735
1834,33780,2014,149847
1835,35380,2014,1248905
1836,35660,2014,155977
1837,35980,2014,271462
1838,36100,2014,338005
1839,36500,2014,264909
1840,36540,2014,903335
1841,36780,2014,169324
1842,41660,2014,119233
1843,45460,2014,188240
1844,46540,2014,295982
1845,48300,2014,113894
1846,49620,2014,440475
1847,12540,2014,869176
1848,15680,2014,109913
1849,16180,2014,54082
1850,16300,2014,264300
1851,17020,2014,223516
1852,19060,2014,100587
1853,21820,2014,99254
1854,25420,2014,561164
1855,25620,2014,167179
1856,28420,2014,274154
1857,34580,2014,119966
1858,34940,2014,347211
1859,39100,2014,669972
1860,40380,2014,1080094
1861,41180,2014,2803430
1862,41420,2014,402092
1863,42220,2014,498560
1864,45780,2014,647228
1865,49420,2014,246870
1866,49740,2014,204054
1867,10540,2014,119042
1868,12420,2014,1942467
1869,13460,2014,169512
1870,13980,2014,165688
1871,15260,2014,114607
1872,16020,2014,97405
1873,17460,2014,2067356
1874,17900,2014,798882
1875,18140,2014,2001635
1876,19300,2014,199183
1877,22180,2014,510635
1878,22660,2014,324008
1879,24220,2014,101260
1880,25060,2014,403841
1881,26820,2014,137838
1882,27900,2014,175869
1883,29200,2014,221445
1884,30340,2014,107358
1885,31540,2014,633369
1886,32900,2014,264419
1887,35620,2014,19280929
1888,36260,2014,630767
1889,37460,2014,178289
1890,39340,2014,571059
1891,39540,2014,194786
1892,42680,2014,144445
1893,48660,2014,151867
1894,49700,2014,168311
1895,11100,2014,260812
1896,11460,2014,360021
1897,13900,2014,122155
1898,15180,2014,419005
1899,15500,2014,155384
1900,16860,2014,544183
1901,17140,2014,2172190
1902,18700,2014,87215
1903,19100,2014,6889769
1904,19500,2014,108515
1905,20700,2014,167285
1906,21060,2014,151675
1907,22900,2014,248220
1908,23900,2014,101353
1909,24860,2014,860285
1910,29740,2014,213933
1911,31900,2014,121999
1912,34740,2014,172254
1913,36740,2014,2324391
1914,37980,2014,6046382
1915,38340,2014,128856
1916,41700,2014,2328894
1917,42100,2014,270861
1918,44180,2014,451556
1919,44700,2014,711579
1920,11540,2015,233146
1921,12020,2015,202565
1922,14010,2015,173141
1923,15540,2015,217152
1924,19660,2015,621166
1925,20100,2015,173128
1926,20740,2015,165501
1927,24260,2015,75319
1928,24420,2015,84528
1929,24500,2015,81878
1930,26420,2015,6671808
1931,26900,2015,1986119
1932,27060,2015,103006
1933,27140,2015,597928
1934,28100,2015,111750
1935,28660,2015,432583
1936,32580,2015,839667
1937,33460,2015,3503728
1938,40980,2015,193305
1939,41140,2015,126724
1940,42140,2015,148098
1941,43900,2015,296558
1942,45060,2015,657648
1943,48700,2015,115598
1944,10900,2015,830295
1945,12940,2015,851167
1946,14860,2015,944943
1947,16980,2015,9552554
1948,21140,2015,202995
1949,21300,2015,86705
1950,21340,2015,835439
1951,21420,2015,63248
1952,21500,2015,278174
1953,24660,2015,751285
1954,25860,2015,363346
1955,27980,2015,163904
1956,30780,2015,730889
1957,34100,2015,139212
1958,35100,2015,125371
1959,37900,2015,412856
1960,40340,2015,213933
1961,40660,2015,96186
1962,40900,2015,2263121
1963,41100,2015,154650
1964,41500,2015,430552
1965,42020,2015,280077
1966,42660,2015,3739654
1967,43580,2015,143736
1968,11180,2015,123079
1969,10500,2015,150387
1970,12620,2015,151929
1971,13780,2015,245283
1972,20020,2015,147992
1973,21780,2015,314983
1974,26300,2015,97814
1975,27620,2015,150928
1976,30980,2015,283767
1977,31080,2015,13234696
1978,31860,2015,99199
1979,37100,2015,845802
1980,39660,2015,134858
1981,39820,2015,178314
1982,41940,2015,1974501
1983,43340,2015,404000
1984,44100,2015,211254
1985,49340,2015,934604
1986,12060,2015,5686048
1987,14020,2015,165073
1988,15940,2015,402433
1989,17980,2015,322772
1990,22420,2015,410461
1991,24780,2015,176071
1992,27100,2015,159264
1993,27340,2015,193114
1994,30020,2015,130011
1995,30460,2015,501469
1996,34980,2015,1804671
1997,37340,2015,565746
1998,38060,2015,4578519
1999,39380,2015,163006
2000,40580,2015,147529
2001,41860,2015,4647924
2002,42200,2015,442229
2003,45940,2015,368124
2004,47580,2015,176293
2005,48620,2015,635551
2006,12980,2015,134327
2007,13380,2015,211836
2008,13820,2015,1079752
2009,14260,2015,674640
2010,18020,2015,81458
2011,20220,2015,96850
2012,25500,2015,131120
2013,25940,2015,207256
2014,26580,2015,367224
2015,26620,2015,444542
2016,29620,2015,541271
2017,29820,2015,2096717
2018,31340,2015,259447
2019,33340,2015,1576496
2020,36140,2015,94160
2021,39460,2015,172382
2022,41060,2015,195425
2023,43780,2015,319703
2024,45300,2015,2983928
2025,45540,2015,117076
2026,46700,2015,433409
2027,47220,2015,154712
2028,48260,2015,120665
2029,49660,2015,548798
2030,11260,2015,398609
2031,12700,2015,213877
2032,17660,2015,149367
2033,19340,2015,383381
2034,22220,2015,491730
2035,22540,2015,101955
2036,23580,2015,192245
2037,24140,2015,124342
2038,24340,2015,1044842
2039,26140,2015,140287
2040,27260,2015,1444638
2041,27500,2015,161006
2042,27860,2015,128459
2043,28020,2015,259676
2044,29340,2015,205275
2045,33660,2015,431294
2046,33740,2015,205668
2047,36980,2015,117521
2048,38300,2015,2347757
2049,39300,2015,1612928
2050,39900,2015,446329
2051,41740,2015,3280850
2052,42540,2015,557734
2053,42700,2015,100137
2054,46060,2015,1009103
2055,46220,2015,249066
2056,46300,2015,105216
2057,47300,2015,457161
2058,11020,2015,124596
2059,12260,2015,589574
2060,12580,2015,2790053
2061,13220,2015,122070
2062,17300,2015,292878
2063,18580,2015,427621
2064,19140,2015,143099
2065,19180,2015,79170
2066,19780,2015,659522
2067,20940,2015,178937
2068,22140,2015,128246
2069,25220,2015,128716
2070,26380,2015,212131
2071,28740,2015,179658
2072,29700,2015,269865
2073,30860,2015,132652
2074,31020,2015,102999
2075,31460,2015,153576
2076,31700,2015,408985
2077,37620,2015,92139
2078,48060,2015,116371
2079,48540,2015,144157
2080,13020,2015,105237
2081,13140,2015,394825
2082,13740,2015,176357
2083,16580,2015,225732
2084,22380,2015,138962
2085,24300,2015,148025
2086,25980,2015,79269
2087,27180,2015,178607
2088,30700,2015,323090
2089,31180,2015,310001
2090,31740,2015,136989
2091,33700,2015,533211
2092,33860,2015,373365
2093,34820,2015,431198
2094,38220,2015,94022
2095,38540,2015,91871
2096,38860,2015,525831
2097,38940,2015,452841
2098,40140,2015,4461227
2099,40220,2015,313152
2100,41540,2015,393526
2101,41620,2015,1164912
2102,43420,2015,126454
2103,44420,2015,120019
2104,45500,2015,149244
2105,46140,2015,980926
2106,47020,2015,99649
2107,47940,2015,170852
2108,10780,2015,154082
2109,11700,2015,444593
2110,12100,2015,270153
2111,14540,2015,169507
2112,16540,2015,153048
2113,19740,2015,2812896
2114,22020,2015,232891
2115,23060,2015,400806
2116,23460,2015,102998
2117,29100,2015,136385
2118,29180,2015,489507
2119,29420,2015,204574
2120,30300,2015,62108
2121,33220,2015,83662
2122,34060,2015,138523
2123,35840,2015,767309
2124,36420,2015,1357178
2125,43100,2015,115196
2126,43300,2015,125628
2127,46660,2015,143311
2128,14460,2015,4778340
2129,15380,2015,1133002
2130,16060,2015,139419
2131,16220,2015,82137
2132,16620,2015,270858
2133,16820,2015,211494
2134,17420,2015,120543
2135,17780,2015,250567
2136,19430,2015,800124
2137,22520,2015,146876
2138,23420,2015,969488
2139,23540,2015,316031
2140,24580,2015,315652
2141,25180,2015,278236
2142,31420,2015,229795
2143,33100,2015,5969135
2144,33260,2015,167974
2145,37860,2015,475537
2146,38900,2015,2381660
2147,42340,2015,377827
2148,44140,2015,700688
2149,44220,2015,135746
2150,45220,2015,377602
2151,47380,2015,262660
2152,47460,2015,59932
2153,49180,2015,656277
2154,10180,2015,169688
2155,10580,2015,879085
2156,12220,2015,156954
2157,11500,2015,115469
2158,14500,2015,318027
2159,14740,2015,259232
2160,17820,2015,697389
2161,19460,2015,152392
2162,19820,2015,4309673
2163,20260,2015,289741
2164,21660,2015,361946
2165,24020,2015,126666
2166,28940,2015,837818
2167,29540,2015,535811
2168,32780,2015,211403
2169,32820,2015,1334790
2170,33540,2015,114122
2171,34620,2015,115767
2172,34900,2015,140862
2173,39150,2015,220805
2174,40060,2015,1246665
2175,40420,2015,340727
2176,43620,2015,250012
2177,44300,2015,160466
2178,44940,2015,141180
2179,45820,2015,233520
2180,46520,2015,991064
2181,47260,2015,1756340
2182,47900,2015,6093950
2183,48900,2015,276848
2184,49020,2015,134284
2185,10420,2015,704382
2186,10740,2015,906026
2187,14100,2015,84980
2188,16740,2015,2447898
2189,16940,2015,96969
2190,17860,2015,202152
2191,18880,2015,260814
2192,25260,2015,150085
2193,25540,2015,1211748
2194,26980,2015,167088
2195,27780,2015,136028
2196,28140,2015,2085913
2197,29020,2015,82338
2198,29460,2015,648523
2199,29940,2015,118141
2200,30140,2015,137479
2201,30620,2015,104095
2202,31140,2015,1246231
2203,35300,2015,860186
2204,36220,2015,159903
2205,39580,2015,1271091
2206,39740,2015,415138
2207,44060,2015,532163
2208,46340,2015,222390
2209,48140,2015,163181
2210,15980,2015,699644
2211,16700,2015,745185
2212,20500,2015,607706
2213,22500,2015,206235
2214,24540,2015,285819
2215,27740,2015,200331
2216,28700,2015,306279
2217,33140,2015,110835
2218,33780,2015,149353
2219,35380,2015,1260281
2220,35660,2015,155022
2221,35980,2015,269636
2222,36100,2015,342182
2223,36500,2015,267978
2224,36540,2015,913073
2225,36780,2015,169246
2226,41660,2015,120390
2227,45460,2015,187365
2228,46540,2015,293916
2229,48300,2015,115586
2230,49620,2015,441741
2231,12540,2015,876031
2232,15680,2015,110985
2233,16180,2015,54068
2234,16300,2015,266312
2235,17020,2015,224631
2236,19060,2015,99879
2237,21820,2015,99636
2238,25420,2015,564678
2239,25620,2015,167873
2240,28420,2015,278945
2241,34580,2015,121559
2242,34940,2015,356041
2243,39100,2015,669842
2244,40380,2015,1077092
2245,41180,2015,2807503
2246,41420,2015,408022
2247,42220,2015,500863
2248,45780,2015,645973
2249,49420,2015,247800
2250,49740,2015,205186
2251,10540,2015,120236
2252,12420,2015,2002134
2253,13460,2015,174246
2254,13980,2015,165725
2255,15260,2015,115779
2256,16020,2015,97316
2257,17460,2015,2064012
2258,17900,2015,809136
2259,18140,2015,2027568
2260,19300,2015,202939
2261,22180,2015,511976
2262,22660,2015,333303
2263,24220,2015,101849
2264,25060,2015,406604
2265,26820,2015,139542
2266,27900,2015,176686
2267,29200,2015,223573
2268,30340,2015,107124
2269,31540,2015,640198
2270,32900,2015,266353
2271,35620,2015,19320968
2272,36260,2015,640334
2273,37460,2015,181488
2274,39340,2015,583218
2275,39540,2015,194672
2276,42680,2015,147434
2277,48660,2015,150083
2278,49700,2015,169327
2279,11100,2015,261618
2280,11460,2015,362975
2281,13900,2015,125325
2282,15180,2015,419450
2283,15500,2015,157037
2284,16860,2015,547205
2285,17140,2015,2181427
2286,18700,2015,88333
2287,19100,2015,7042566
2288,19500,2015,107343
2289,20700,2015,166481
2290,21060,2015,148107
2291,22900,2015,248820
2292,23900,2015,101808
2293,24860,2015,872521
2294,29740,2015,214034
2295,31900,2015,121688
2296,34740,2015,172447
2297,36740,2015,2388509
2298,37980,2015,6056816
2299,38340,2015,127858
2300,41700,2015,2379232
2301,42100,2015,273503
2302,44180,2015,455593
2303,44700,2015,722271
2304,11540,2016,234200
2305,12020,2016,205402
2306,14010,2016,173070
2307,15540,2016,217447
2308,19660,2016,635859
2309,20100,2016,174542
2310,20740,2016,166430
2311,24260,2016,75598
2312,24420,2016,85504
2313,24500,2016,81562
2314,26420,2016,6806503
2315,26900,2016,2006760
2316,27060,2016,102942
2317,27140,2016,599170
2318,28100,2016,111080
2319,28660,2016,436421
2320,32580,2016,848960
2321,33460,2016,3538527
2322,40980,2016,192507
2323,41140,2016,126597
2324,42140,2016,148758
2325,43900,2016,300867
2326,45060,2016,654391
2327,48700,2016,114876
2328,10900,2016,833163
2329,12940,2016,856723
2330,14860,2016,944347
2331,16980,2016,9533662
2332,21140,2016,203642
2333,21300,2016,85644
2334,21340,2016,839203
2335,21420,2016,62493
2336,21500,2016,276170
2337,24660,2016,758635
2338,25860,2016,364798
2339,27980,2016,165350
2340,30780,2016,734166
2341,34100,2016,139924
2342,35100,2016,124985
2343,37900,2016,410754
2344,40340,2016,216163
2345,40660,2016,96698
2346,40900,2016,2291533
2347,41100,2016,159352
2348,41500,2016,433953
2349,42020,2016,281803
2350,42660,2016,3816355
2351,43580,2016,143844
2352,11180,2016,123309
2353,10500,2016,149137
2354,12620,2016,151333
2355,13780,2016,243322
2356,20020,2016,147784
2357,21780,2016,315283
2358,26300,2016,98282
2359,27620,2016,151375
2360,30980,2016,283641
2361,31080,2016,13270694
2362,31860,2016,100075
2363,37100,2016,847323
2364,39660,2016,136450
2365,39820,2016,178571
2366,41940,2016,1987593
2367,43340,2016,401947
2368,44100,2016,210424
2369,49340,2016,936422
2370,12060,2016,5787965
2371,14020,2016,166655
2372,15940,2016,401068
2373,17980,2016,319040
2374,22420,2016,408926
2375,24780,2016,177171
2376,27100,2016,158277
2377,27340,2016,192314
2378,30020,2016,127676
2379,30460,2016,507387
2380,34980,2016,1841294
2381,37340,2016,576874
2382,38060,2016,4673336
