,CBSA,year,Population
250,33540,2010,109467
251,34620,2010,117665
252,34900,2010,136759
253,39150,2010,210983
254,40060,2010,1188246
255,40420,2010,349184
256,43620,2010,229099
257,44300,2010,154230
258,44940,2010,142555
259,45820,2010,234266
260,46520,2010,956285
261,47260,2010,1717036
262,47900,2010,5678491
263,48900,2010,255699
264,49020,2010,128652
265,10420,2010,703031
266,10740,2010,889558
267,14100,2010,85657
268,16740,2010,2250121
269,16940,2010,92236
270,17860,2010,190947
271,18880,2010,235932
272,25260,2010,152370
273,25540,2010,1214091
274,26980,2010,153025
275,27780,2010,143461
276,28140,2010,2013361
277,29020,2010,82752
278,29460,2010,603102
279,29940,2010,111198
280,30140,2010,133664
281,30620,2010,106358
282,31140,2010,1204655
283,35300,2010,863357
284,36220,2010,137075
285,39580,2010,1137383
286,39740,2010,412039
287,44060,2010,515553
288,46340,2010,210408
289,48140,2010,162829
290,15980,2010,620449
291,16700,2010,667450
292,20500,2010,566267
293,22500,2010,205662
294,24540,2010,254207
295,27740,2010,199010
296,28700,2010,309480
297,33140,2010,111459
298,33780,2010,151936
299,35380,2010,1195324
300,35660,2010,156737
301,35980,2010,274004
302,36100,2010,331331
303,36500,2010,253001
304,36540,2010,867671
305,36780,2010,167073
306,41660,2010,113422
307,45460,2010,189523
308,46540,2010,299226
309,48300,2010,111264
310,49620,2010,435413
311,12540,2010,840996
312,15680,2010,105761
313,16180,2010,54981
314,16300,2010,258440
315,17020,2010,219949
316,19060,2010,103170
317,21820,2010,98264
318,25420,2010,550088
319,25620,2010,162856
320,28420,2010,255542
321,34580,2010,116944
322,34940,2010,322581
323,39100,2010,671173
324,40380,2010,1079974
325,41180,2010,2789989
326,41420,2010,391479
327,42220,2010,484755
328,45780,2010,651372
329,49420,2010,244256
330,49740,2010,197127
331,10540,2010,116891
332,12420,2010,1727502
333,13460,2010,157742
334,13980,2010,163131
335,15260,2010,112534
336,16020,2010,96447
337,17460,2010,2075478
338,17900,2010,769646
339,18140,2010,1906366
340,19300,2010,183112
341,22180,2010,490446
342,22660,2010,300441
343,24220,2010,98633
344,25060,2010,389324
345,26820,2010,133813
346,27900,2010,175833
347,29200,2010,210687
348,30340,2010,107708
349,31540,2010,606625
350,32900,2010,256721
351,35620,2010,18923407
352,36260,2010,599740
353,37460,2010,169206
354,39340,2010,530262
355,39540,2010,195406
356,42680,2010,138270
357,48660,2010,151649
358,49700,2010,167099
359,11100,2010,252664
360,11460,2010,345717
361,13900,2010,111112
362,15180,2010,407630
363,15500,2010,151431
364,16860,2010,529131
365,17140,2010,2140715
366,18700,2010,85574
367,19100,2010,6392065
368,19500,2010,110787
369,20700,2010,169849
370,21060,2010,149833
371,22900,2010,248344
372,23900,2010,101479
373,24860,2010,825625
374,29740,2010,210097
375,31900,2010,124162
376,34740,2010,171913
377,36740,2010,2139161
378,37980,2010,5970899
379,38340,2010,131317
380,41700,2010,2153009
381,42100,2010,263147
382,44180,2010,437349
383,44700,2010,687127
384,11540,2011,227548
385,12020,2011,194375
386,14010,2011,170909
387,15540,2011,213235
388,19660,2011,591926
389,20100,2011,165110
390,20740,2011,162886
391,24260,2011,73547
392,24420,2011,82702
393,24500,2011,81714
394,26420,2011,6056193
395,26900,2011,1910719
396,27060,2011,101821
397,27140,2011,593409
398,28100,2011,113519
399,28660,2011,412348
400,32580,2011,795517
401,33460,2011,3373392
402,40980,2011,198899
403,41140,2011,127700
404,42140,2011,145847
405,43900,2011,286102
406,45060,2011,662482
407,48700,2011,116748
408,10900,2011,824930
409,12940,2011,831493
410,14860,2011,928000
411,16980,2011,9500870
412,21140,2011,198279
413,21300,2011,88899
414,21340,2011,823308
415,21420,2011,60763
