,CBSA,Metropolitan_Area,Rank_Total
140,13820,"Birmingham-Hoover, AL",794.0
141,15500,"Burlington, NC",743.5
142,16980,"Chicago-Naperville-Elgin, IL-IN-WI",733.0
143,20020,"Dothan, AL",914.5
144,23540,"Gainesville, FL",673.5
145,23900,"Gettysburg, PA",718.5
146,24140,"Goldsboro, NC",1042.5
147,24260,"Grand Island, NE",721.0
148,24580,"Green Bay, WI",616.0
149,25540,"Hartford-East Hartford-Middletown, CT",832.0
150,26140,"Homosassa Springs, FL",1079.5
151,26580,"Huntington-Ashland, WV-KY-OH",1161.5
152,26820,"Idaho Falls, ID",727.0
153,28740,"Kingston, NY",953.0
154,32820,"Memphis, TN-MS-AR",964.0
155,33220,"Midland, MI",558.5
156,33700,"Modesto, CA",522.0
157,34060,"Morgantown, WV",250.0
158,34620,"Muncie, IN",1277.5
159,35840,"North Port-Sarasota-Bradenton, FL",431.0
160,36540,"Omaha-Council Bluffs, NE-IA",724.5
161,37860,"Pensacola-Ferry Pass-Brent, FL",810.0
162,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",748.5
163,39340,"Provo-Orem, UT",453.0
164,39380,"Pueblo, CO",816.5
165,39900,"Reno, NV",775.5
166,41100,"St. George, UT",255.5
167,44420,"Staunton, VA",969.0
168,45500,"Texarkana, TX-AR",905.0
169,47300,"Visalia, CA",791.5
170,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",578.5
171,11100,"Amarillo, TX",844.5
172,12540,"Bakersfield, CA",561.0
173,13900,"Bismarck, ND",407.0
174,17300,"Clarksville, TN-KY",619.5
175,17780,"College Station-Bryan, TX",607.0
176,18700,"Corvallis, OR",792.0
177,19180,"Danville, IL",1408.0
178,19300,"Daphne-Fairhope-Foley, AL",286.0
179,19500,"Decatur, IL",1200.0
180,20940,"El Centro, CA",652.0
181,21300,"Elmira, NY",1224.5
182,21420,"Enid, OK",783.0
183,28420,"Kennewick-Richland, WA",674.5
184,28700,"Kingsport-Bristol, TN-VA",1120.0
185,30300,"Lewiston, ID-WA",848.0
186,30980,"Longview, TX",747.0
187,31020,"Longview, WA",1069.0
188,33100,"Miami-Fort Lauderdale-Pompano Beach, FL",385.5
189,33780,"Monroe, MI",1104.5
190,34100,"Morristown, TN",1065.5
191,36980,"Owensboro, KY",853.5
192,37340,"Palm Bay-Melbourne-Titusville, FL",978.0
193,39660,"Rapid City, SD",697.5
194,40380,"Rochester, NY",953.0
195,41860,"San Francisco-Oakland-Berkeley, CA",402.0
196,42020,"San Luis Obispo-Paso Robles, CA",422.0
197,44220,"Springfield, OH",1055.5
198,45060,"Syracuse, NY",1056.0
199,47580,"Warner Robins, GA",817.0
200,11260,"Anchorage, AK",544.5
201,13380,"Bellingham, WA",510.5
202,13980,"Blacksburg-Christiansburg, VA",640.5
203,14740,"Bremerton-Silverdale-Port Orchard, WA",810.0
204,20700,"East Stroudsburg, PA",1063.5
205,25860,"Hickory-Lenoir-Morganton, NC",1011.0
206,26900,"Indianapolis-Carmel-Anderson, IN",706.0
207,26980,"Iowa City, IA",516.5
208,29340,"Lake Charles, LA",509.5
209,29740,"Las Cruces, NM",955.0
210,32780,"Medford, OR",793.5
211,34940,"Naples-Marco Island, FL",393.0
212,36260,"Ogden-Clearfield, UT",579.0
213,39300,"Providence-Warwick, RI-MA",962.0
214,39740,"Reading, PA",692.5
215,41140,"St. Joseph, MO-KS",749.5
216,43340,"Shreveport-Bossier City, LA",1042.0
217,43780,"South Bend-Mishawaka, IN-MI",878.5
218,44060,"Spokane-Spokane Valley, WA",851.5
